"Tabela 1.1.1.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.1.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de idade,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,Sexo e grupos de idade,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
10 a 14 anos,15864.449,1690.735,5039.217,5928.456,1993.245,1212.796,10 a 14 anos,8.9,11.6,10.4,7.8,7.7,9.1
15 a 17 anos,10637.612,1088.544,3250.373,4116.671,1403.795,778.229,15 a 17 anos,6,7.5,6.7,5.4,5.4,5.8
18 ou 19 anos,6841.357,645.391,2043.647,2765.427,881.019,505.873,18 ou 19 anos,3.9,4.4,4.2,3.7,3.4,3.8
20 a 24 anos,15590.86,1473.389,4402.744,6319.979,2166.79,1227.958,20 a 24 anos,8.8,10.1,9.1,8.4,8.4,9.2
25 a 29 anos,15275.577,1394.419,4325.388,6274.791,2075.18,1205.799,25 a 29 anos,8.6,9.6,8.9,8.3,8.1,9
30 a 34 anos,16280.682,1412.539,4450.614,6858.179,2269.378,1289.972,30 a 34 anos,9.2,9.7,9.2,9.1,8.8,9.7
35 a 39 anos,15757.939,1346.449,4269.026,6720.265,2138.572,1283.627,35 a 39 anos,8.9,9.3,8.8,8.9,8.3,9.6
40 a 44 anos,14536.418,1147.26,3762.629,6369.471,2100.088,1156.97,40 a 44 anos,8.2,7.9,7.8,8.4,8.1,8.7
45 a 49 anos,13607.429,990.055,3513.147,5925.598,2091.037,1087.592,45 a 49 anos,7.7,6.8,7.3,7.8,8.1,8.2
50 a 54 anos,12988.293,884.531,3171.64,5863.54,2135.288,933.294,50 a 54 anos,7.3,6.1,6.6,7.8,8.3,7
55 a 59 anos,10902.236,694.136,2599.251,4993.751,1842.893,772.205,55 a 59 anos,6.1,4.8,5.4,6.6,7.2,5.8
60 anos ou mais,29373.97,1769.42,7582.228,13462.481,4674.515,1885.326,60 anos ou mais,16.5,12.2,15.7,17.8,18.1,14.1
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
10 a 14 anos,8103.415,869.253,2610.679,2991.181,1004.445,627.857,10 a 14 anos,9.5,11.9,11.3,8.3,8,9.7
15 a 17 anos,5423.592,563.079,1664.594,2049.78,745.315,400.824,15 a 17 anos,6.3,7.7,7.2,5.7,6,6.2
18 ou 19 anos,3487.646,331.071,1030.373,1413.129,441.186,271.887,18 ou 19 anos,4.1,4.5,4.4,3.9,3.5,4.2
20 a 24 anos,7955.353,765.316,2202.809,3249.115,1112.907,625.206,20 a 24 anos,9.3,10.5,9.5,9,8.9,9.6
25 a 29 anos,7526.188,673.734,2111.769,3120.248,1044.636,575.801,25 a 29 anos,8.8,9.3,9.1,8.7,8.4,8.9
30 a 34 anos,7898.995,700.74,2153.728,3282.551,1138.181,623.795,30 a 34 anos,9.2,9.6,9.3,9.1,9.1,9.6
35 a 39 anos,7563.61,652.015,2019.619,3225.822,1048.882,617.272,35 a 39 anos,8.8,9,8.7,9,8.4,9.5
40 a 44 anos,6981.243,568.069,1759.293,3081.914,1021.859,550.108,40 a 44 anos,8.2,7.8,7.6,8.6,8.2,8.5
45 a 49 anos,6492.133,498.647,1667.165,2812.971,991.782,521.568,45 a 49 anos,7.6,6.8,7.2,7.8,7.9,8
50 a 54 anos,6073.051,429.394,1451.865,2752.057,1004.89,434.845,50 a 54 anos,7.1,5.9,6.3,7.6,8,6.7
55 a 59 anos,5038.712,352.913,1189.979,2265.603,868.619,361.598,55 a 59 anos,5.9,4.8,5.1,6.3,6.9,5.6
60 anos ou mais,12945.461,876.358,3319.759,5793.631,2079.217,876.496,60 anos ou mais,15.1,12,14.3,16.1,16.6,13.5
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
10 a 14 anos,7761.034,821.482,2428.538,2937.275,988.8,584.939,10 a 14 anos,8.4,11.3,9.6,7.4,7.5,8.5
15 a 17 anos,5214.02,525.465,1585.779,2066.891,658.48,377.405,15 a 17 anos,5.7,7.2,6.3,5.2,5,5.5
18 ou 19 anos,3353.711,314.32,1013.274,1352.298,439.833,233.986,18 ou 19 anos,3.6,4.3,4,3.4,3.3,3.4
20 a 24 anos,7635.507,708.073,2199.935,3070.864,1053.883,602.752,20 a 24 anos,8.3,9.8,8.7,7.8,7.9,8.8
25 a 29 anos,7749.389,720.685,2213.619,3154.543,1030.544,629.998,25 a 29 anos,8.4,9.9,8.8,8,7.8,9.2
30 a 34 anos,8381.687,711.799,2296.886,3575.628,1131.197,666.177,30 a 34 anos,9.1,9.8,9.1,9,8.5,9.7
35 a 39 anos,8194.329,694.434,2249.407,3494.443,1089.69,666.355,35 a 39 anos,8.9,9.6,8.9,8.8,8.2,9.7
40 a 44 anos,7555.175,579.191,2003.336,3287.557,1078.229,606.862,40 a 44 anos,8.2,8,7.9,8.3,8.1,8.9
45 a 49 anos,7115.296,491.408,1845.982,3112.627,1099.255,566.024,45 a 49 anos,7.7,6.8,7.3,7.9,8.3,8.3
50 a 54 anos,6915.242,455.137,1719.775,3111.483,1130.398,498.449,50 a 54 anos,7.5,6.3,6.8,7.9,8.5,7.3
55 a 59 anos,5863.524,341.223,1409.272,2728.148,974.274,410.607,55 a 59 anos,6.4,4.7,5.6,6.9,7.3,6
60 anos ou mais,16428.509,893.062,4262.469,7668.85,2595.298,1008.83,60 anos ou mais,17.8,12.3,16.9,19.4,19.6,14.7
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
