"Tabela 1.1.12.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de atividade na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.12.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de atividade na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Sexo, condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901,Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Economicamente ativas,105519.431,8287.191,26840.727,46008.415,16100.149,8282.949,Economicamente ativas,100,100,100,100,100,100
Utilizaram,68083.794,4211.849,13594.028,33533.6,10991.622,5752.695,Utilizaram,64.5,50.8,50.6,72.9,68.3,69.5
Não utilizaram,37435.637,4075.342,13246.699,12474.815,5108.527,2530.254,Não utilizaram,35.5,49.2,49.4,27.1,31.7,30.5
Não economicamente ativas,72137.391,6249.677,21569.177,29590.194,9671.651,5056.692,Não economicamente ativas,100,100,100,100,100,100
Utilizaram,33999.296,2503.462,8237.056,15713.383,4767.35,2778.045,Utilizaram,47.1,40.1,38.2,53.1,49.3,54.9
Não utilizaram,38138.095,3746.215,13332.121,13876.811,4904.301,2278.647,Não utilizaram,52.9,59.9,61.8,46.9,50.7,45.1
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964,Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293,Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Economicamente ativas,59415.974,5015.517,15398.184,25391.317,8937.143,4673.813,Economicamente ativas,100,100,100,100,100,100
Utilizaram,35806.743,2289.801,6959.709,17691.166,5819.557,3046.51,Utilizaram,60.3,45.7,45.2,69.7,65.1,65.2
Não utilizaram,23609.231,2725.716,8438.475,7700.151,3117.586,1627.303,Não utilizaram,39.7,54.3,54.8,30.3,34.9,34.8
Não economicamente ativas,26073.425,2265.072,7783.448,10646.685,3564.776,1813.444,Não economicamente ativas,100,100,100,100,100,100
Utilizaram,12784.803,909.826,3171.96,5823.902,1841.661,1037.454,Utilizaram,49,40.2,40.8,54.7,51.7,57.2
Não utilizaram,13288.622,1355.246,4611.488,4822.783,1723.115,775.99,Não utilizaram,51,59.8,59.2,45.3,48.3,42.8
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776,Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608,Não utilizaram,42,51.5,53.6,35,39,35.1
Economicamente ativas,46103.457,3271.674,11442.543,20617.098,7163.006,3609.136,Economicamente ativas,100,100,100,100,100,100
Utilizaram,32277.051,1922.048,6634.319,15842.434,5172.065,2706.185,Utilizaram,70,58.7,58,76.8,72.2,75
Não utilizaram,13826.406,1349.626,4808.224,4774.664,1990.941,902.951,Não utilizaram,30,41.3,42,23.2,27.8,25
Não economicamente ativas,46063.966,3984.605,13785.729,18943.509,6106.875,3243.248,Não economicamente ativas,100,100,100,100,100,100
Utilizaram,21214.493,1593.636,5065.096,9889.481,2925.689,1740.591,Utilizaram,46.1,40,36.7,52.2,47.9,53.7
Não utilizaram,24849.473,2390.969,8720.633,9054.028,3181.186,1502.657,Não utilizaram,53.9,60,63.3,47.8,52.1,46.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
