"Tabela 1.1.13.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.13.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901,Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Ocupadas,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227,Ocupadas,100,100,100,100,100,100
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497,Utilizaram,63.4,49,48.7,72.2,67.7,68.7
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73,Não utilizaram,36.6,51,51.3,27.8,32.3,31.3
Não ocupadas,82276.339,6978.066,24281.113,34543.028,10776.718,5697.414,Não ocupadas,100,100,100,100,100,100
Utilizaram,41594.182,3011.818,10072.165,19613.158,5614.798,3282.243,Utilizaram,50.6,43.2,41.5,56.8,52.1,57.6
Não utilizaram,40682.157,3966.248,14208.948,14929.87,5161.92,2415.171,Não utilizaram,49.4,56.8,58.5,43.2,47.9,42.4
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964,Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293,Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Ocupados,54704.323,4691.909,14127.747,23051.396,8441.632,4391.639,Ocupados,100,100,100,100,100,100
Utilizaram,32466.251,2077.836,6162.953,15937.097,5452.154,2836.211,Utilizaram,59.3,44.3,43.6,69.1,64.6,64.6
Não utilizaram,22238.072,2614.073,7964.794,7114.299,2989.478,1555.428,Não utilizaram,40.7,55.7,56.4,30.9,35.4,35.4
Não ocupados,30785.076,2588.68,9053.885,12986.606,4060.287,2095.618,Não ocupados,100,100,100,100,100,100
Utilizaram,16125.295,1121.791,3968.716,7577.971,2209.064,1247.753,Utilizaram,52.4,43.3,43.8,58.4,54.4,59.5
Não utilizaram,14659.781,1466.889,5085.169,5408.635,1851.223,847.865,Não utilizaram,47.6,56.7,56.2,41.6,45.6,40.5
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776,Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608,Não utilizaram,42,51.5,53.6,35,39,35.1
Ocupadas,40676.16,2866.893,10001.044,18004.185,6553.45,3250.588,Ocupadas,100,100,100,100,100,100
Utilizaram,28022.657,1625.657,5595.966,13696.728,4692.02,2412.286,Utilizaram,68.9,56.7,56,76.1,71.6,74.2
Não utilizaram,12653.503,1241.236,4405.078,4307.457,1861.43,838.302,Não utilizaram,31.1,43.3,44,23.9,28.4,25.8
Não ocupadas,51491.263,4389.386,15227.228,21556.422,6716.431,3601.796,Não ocupadas,100,100,100,100,100,100
Utilizaram,25468.887,1890.027,6103.449,12035.187,3405.734,2034.49,Utilizaram,49.5,43.1,40.1,55.8,50.7,56.5
Não utilizaram,26022.376,2499.359,9123.779,9521.235,3310.697,1567.306,Não utilizaram,50.5,56.9,59.9,44.2,49.3,43.5
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
