"Tabela 1.1.14.1 - Estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.14.2 - Distribuição dos estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Estudantes de 10 anos ou mais de idade (1000 pessoas),,,,,,"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição dos estudantes de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,36307.519,3757.805,10811.956,14038.053,4781.209,2918.496,Total,100,100,100,100,100,100
Utilizaram,28963.64,2336.457,7440.665,12418.695,4217.244,2550.579,Utilizaram,79.8,62.2,68.8,88.5,88.2,87.4
Não utilizaram,7343.879,1421.348,3371.291,1619.358,563.965,367.917,Não utilizaram,20.2,37.8,31.2,11.5,11.8,12.6
Ocupadas,8408.524,831.113,2239.717,3199.355,1360.399,777.94,Ocupadas,100,100,100,100,100,100
Utilizaram,7350.176,592.42,1720.771,3023.41,1288.693,724.882,Utilizaram,87.4,71.3,76.8,94.5,94.7,93.2
Não utilizaram,1058.348,238.693,518.946,175.945,71.706,53.058,Não utilizaram,12.6,28.7,23.2,5.5,5.3,6.8
Não ocupadas,27898.995,2926.692,8572.239,10838.698,3420.81,2140.556,Não ocupadas,100,100,100,100,100,100
Utilizaram,21613.464,1744.037,5719.894,9395.285,2928.551,1825.697,Utilizaram,77.5,59.6,66.7,86.7,85.6,85.3
Não utilizaram,6285.531,1182.655,2852.345,1443.413,492.259,314.859,Não utilizaram,22.5,40.4,33.3,13.3,14.4,14.7
Homens,17814.158,1863.472,5329.67,6838.182,2364.559,1418.275,Homens,100,100,100,100,100,100
Utilizaram,13923.526,1109.431,3527.232,5988.114,2064.979,1233.77,Utilizaram,78.2,59.5,66.2,87.6,87.3,87
Não utilizaram,3890.632,754.041,1802.438,850.068,299.58,184.505,Não utilizaram,21.8,40.5,33.8,12.4,12.7,13
Ocupados,4443.53,484.167,1209.083,1662.574,695.382,392.324,Ocupados,100,100,100,100,100,100
Utilizaram,3744.082,321.193,845.774,1560.612,650.582,365.921,Utilizaram,84.3,66.3,70,93.9,93.6,93.3
Não utilizaram,699.448,162.974,363.309,101.962,44.8,26.403,Não utilizaram,15.7,33.7,30,6.1,6.4,6.7
Não ocupados,13370.628,1379.305,4120.587,5175.608,1669.177,1025.951,Não ocupados,100,100,100,100,100,100
Utilizaram,10179.444,788.238,2681.458,4427.502,1414.397,867.849,Utilizaram,76.1,57.1,65.1,85.5,84.7,84.6
Não utilizaram,3191.184,591.067,1439.129,748.106,254.78,158.102,Não utilizaram,23.9,42.9,34.9,14.5,15.3,15.4
Mulheres,18493.361,1894.333,5482.286,7199.871,2416.65,1500.221,Mulheres,100,100,100,100,100,100
Utilizaram,15040.114,1227.026,3913.433,6430.581,2152.265,1316.809,Utilizaram,81.3,64.8,71.4,89.3,89.1,87.8
Não utilizaram,3453.247,667.307,1568.853,769.29,264.385,183.412,Não utilizaram,18.7,35.2,28.6,10.7,10.9,12.2
Ocupadas,3964.994,346.946,1030.634,1536.781,665.017,385.616,Ocupadas,100,100,100,100,100,100
Utilizaram,3606.094,271.227,874.997,1462.798,638.111,358.961,Utilizaram,90.9,78.2,84.9,95.2,96,93.1
Não utilizaram,358.9,75.719,155.637,73.983,26.906,26.655,Não utilizaram,9.1,21.8,15.1,4.8,4,6.9
Não ocupadas,14528.367,1547.387,4451.652,5663.09,1751.633,1114.605,Não ocupadas,100,100,100,100,100,100
Utilizaram,11434.02,955.799,3038.436,4967.783,1514.154,957.848,Utilizaram,78.7,61.8,68.3,87.7,86.4,85.9
Não utilizaram,3094.347,591.588,1413.216,695.307,237.479,156.757,Não utilizaram,21.3,38.2,31.7,12.3,13.6,14.1
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
