"Tabela 1.1.15.1 - Pessoas de 10 anos ou mais de idade que não eram estudantes, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.15.2 - Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade que não eram estudantes (1000 pessoas),,,,,,"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,141349.303,10779.063,37597.948,61560.556,20990.591,10421.145,Total,100,100,100,100,100,100
Utilizaram,73119.45,4378.854,14390.419,36828.288,11541.728,5980.161,Utilizaram,51.7,40.6,38.3,59.8,55,57.4
Não utilizaram,68229.853,6400.209,23207.529,24732.268,9448.863,4440.984,Não utilizaram,48.3,59.4,61.7,40.2,45,42.6
Ocupadas,86971.959,6727.689,21889.074,37856.226,13634.683,6864.287,Ocupadas,100,100,100,100,100,100
Utilizaram,53138.732,3111.073,10038.148,26610.415,8855.481,4523.615,Utilizaram,61.1,46.2,45.9,70.3,64.9,65.9
Não utilizaram,33833.227,3616.616,11850.926,11245.811,4779.202,2340.672,Não utilizaram,38.9,53.8,54.1,29.7,35.1,34.1
Não ocupadas,54377.344,4051.374,15708.874,23704.33,7355.908,3556.858,Não ocupadas,100,100,100,100,100,100
Utilizaram,19980.718,1267.781,4352.271,10217.873,2686.247,1456.546,Utilizaram,36.7,31.3,27.7,43.1,36.5,41
Não utilizaram,34396.626,2783.593,11356.603,13486.457,4669.661,2100.312,Não utilizaram,63.3,68.7,72.3,56.9,63.5,59
Homens,67675.241,5417.117,17851.962,29199.82,10137.36,5068.982,Homens,100,100,100,100,100,100
Utilizaram,34668.02,2090.196,6604.437,17526.954,5596.239,2850.194,Utilizaram,51.2,38.6,37,60,55.2,56.2
Não utilizaram,33007.221,3326.921,11247.525,11672.866,4541.121,2218.788,Não utilizaram,48.8,61.4,63,40,44.8,43.8
Ocupados,50260.793,4207.742,12918.664,21388.822,7746.25,3999.315,Ocupados,100,100,100,100,100,100
Utilizaram,28722.169,1756.643,5317.179,14376.485,4801.572,2470.29,Utilizaram,57.1,41.7,41.2,67.2,62,61.8
Não utilizaram,21538.624,2451.099,7601.485,7012.337,2944.678,1529.025,Não utilizaram,42.9,58.3,58.8,32.8,38,38.2
Não ocupados,17414.448,1209.375,4933.298,7810.998,2391.11,1069.667,Não ocupados,100,100,100,100,100,100
Utilizaram,5945.851,333.553,1287.258,3150.469,794.667,379.904,Utilizaram,34.1,27.6,26.1,40.3,33.2,35.5
Não utilizaram,11468.597,875.822,3646.04,4660.529,1596.443,689.763,Não utilizaram,65.9,72.4,73.9,59.7,66.8,64.5
Mulheres,73674.062,5361.946,19745.986,32360.736,10853.231,5352.163,Mulheres,100,100,100,100,100,100
Utilizaram,38451.43,2288.658,7785.982,19301.334,5945.489,3129.967,Utilizaram,52.2,42.7,39.4,59.6,54.8,58.5
Não utilizaram,35222.632,3073.288,11960.004,13059.402,4907.742,2222.196,Não utilizaram,47.8,57.3,60.6,40.4,45.2,41.5
Ocupadas,36711.166,2519.947,8970.41,16467.404,5888.433,2864.972,Ocupadas,100,100,100,100,100,100
Utilizaram,24416.563,1354.43,4720.969,12233.93,4053.909,2053.325,Utilizaram,66.5,53.7,52.6,74.3,68.8,71.7
Não utilizaram,12294.603,1165.517,4249.441,4233.474,1834.524,811.647,Não utilizaram,33.5,46.3,47.4,25.7,31.2,28.3
Não ocupadas,36962.896,2841.999,10775.576,15893.332,4964.798,2487.191,Não ocupadas,100,100,100,100,100,100
Utilizaram,14034.867,934.228,3065.013,7067.404,1891.58,1076.642,Utilizaram,38,32.9,28.4,44.5,38.1,43.3
Não utilizaram,22928.029,1907.771,7710.563,8825.928,3073.218,1410.549,Não utilizaram,62,67.1,71.6,55.5,61.9,56.7
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
