"Tabela 1.1.16.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.16.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos ocupacionais no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,,"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos ocupacionais no trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227,Total,100,100,100,100,100,100
Dirigentes em geral,4724.679,257.029,819.055,2336.161,911.922,400.512,Dirigentes em geral,5,3.4,3.4,5.7,6.1,5.2
Profissionais das ciências e das artes,9372.513,567.399,1734.33,4690.25,1562.387,818.147,Profissionais das ciências e das artes,9.8,7.5,7.2,11.4,10.4,10.7
Técnicos de nível médio,6833.88,424.335,1387.265,3348.889,1129.955,543.436,Técnicos de nível médio,7.2,5.6,5.7,8.2,7.5,7.1
Trabalhadores de serviços administrativos,8994.499,564.632,1725.868,4483.374,1460.952,759.673,Trabalhadores de serviços administrativos,9.4,7.5,7.2,10.9,9.7,9.9
Trabalhadores dos serviços,19256.064,1375.774,4612.061,9017.1,2606.104,1645.025,Trabalhadores dos serviços,20.2,18.2,19.1,22,17.4,21.5
Vendedores e prestadores de serviço do comércio,9323.097,869.834,2725.4,3780.051,1205.832,741.98,Vendedores e prestadores de serviço do comércio,9.8,11.5,11.3,9.2,8,9.7
Trabalhadores agrícolas,13312.12,1694.254,5771.19,3022.278,1978.134,846.264,Trabalhadores agrícolas,14,22.4,23.9,7.4,13.2,11.1
Trabalhadores da produção de bens e serviços e de reparação e manutenção,22701.123,1726.294,5175.096,9985.832,4031.791,1782.11,Trabalhadores da produção de bens e serviços e de reparação e manutenção,23.8,22.8,21.4,24.3,26.9,23.3
Membros das forças armadas e auxiliares,843.332,78.981,176.749,378.023,104.499,105.08,Membros das forças armadas e auxiliares,0.9,1,0.7,0.9,0.7,1.4
Ocupações maldefinidas,19.176,0.27,1.777,13.623,3.506,-,Ocupações maldefinidas,0,0,0,0,0,-
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497,Utilizaram,100,100,100,100,100,100
Dirigentes em geral,4164.877,199.169,666.858,2123.909,817.613,357.328,Dirigentes em geral,6.9,5.4,5.7,7.2,8.1,6.8
Profissionais das ciências e das artes,8822.488,484.884,1544.793,4520.331,1491.804,780.676,Profissionais das ciências e das artes,14.6,13.1,13.1,15.3,14.7,14.9
Técnicos de nível médio,6066.428,323.649,1132.395,3079.314,1034.046,497.024,Técnicos de nível médio,10,8.7,9.6,10.4,10.2,9.5
