"Tabela 1.1.18.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Posição na ocupação e categoria do emprego no trabalho principal,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,63.4,49,48.7,72.2,67.7,68.7
Empregados e trabalhador domésticos,71.3,62.3,61.1,76.3,74.1,73.1
Com carteira de trabalho assinada,76,69.6,70.8,78.7,75.7,74.2
Militares e funcionários públicos estatutários,83.9,77,76.4,87.5,87.9,87.3
Outros sem carteira de trabalho assinada,55.9,48.8,45.8,63.7,60.9,62.9
Empregados,74.3,64.9,63.7,79.4,76.8,76.4
Com carteira de trabalho assinada,77.5,70.8,71.8,80.3,76.8,76.2
Militares e funcionários públicos estatutários,83.9,77,76.4,87.5,87.9,87.3
Outros sem carteira de trabalho assinada,60.5,51.3,48.4,70.9,68.2,68.9
Conta própria,48.6,32.5,33.7,61.1,53.5,57.4
Empregadores,80.9,64.9,72.8,85.1,83.3,79.8
Não remunerados,43.3,28,36.5,57.3,48.2,59.9
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,11.8,10.6,8.4,15.9,18.5,16.7
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
