"Tabela 1.1.19.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Classes de rendimento mensal,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),57.5,46.2,45.1,65.1,61.1,64
Sem rendimento (2),65.3,51.7,55.6,72.6,70.1,72.2
Até 1/2 salário mínimo,36.1,31.6,28,51.5,48.3,53.1
Mais de 1/2 a 1 salário mínimo,43.7,33.7,34.7,55.1,54.1,57.2
Mais de 1 a 2 salário mínimos,45.7,38.9,37.4,51.4,46.4,49.9
Mais de 2 a 3 salário mínimos,61.8,52.6,52,65.9,61.1,62.8
Mais de 3 a 5 salários mínimos,75.8,70,75.8,77.4,73.6,74.6
Mais de 5 a 10 salário mínimos,85.4,78.8,82.8,87.2,83.6,86.3
Mais de10 a 20 salário mínimos,91.4,85.2,88.7,92.2,91.4,92.6
Mais de 20 salários mínimos,92.9,84.3,90.9,94.7,89.1,93.3
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,
