"Tabela 1.1.2.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.2.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.1.2.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,Sexo e grupos de idade,"Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de idade,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Total,100,100,100,100,100,100,Total,57.5,46.2,45.1,65.1,61.1,64
10 a 14 anos,10959.903,774.673,2785.373,4836.459,1597.468,965.93,10 a 14 anos,10.7,11.5,12.8,9.8,10.1,11.3,10 a 14 anos,69.1,45.8,55.3,81.6,80.1,79.6
15 a 17 anos,8720.509,722.296,2360.821,3688.523,1257.578,691.291,15 a 17 anos,8.5,10.8,10.8,7.5,8,8.1,15 a 17 anos,82,66.4,72.6,89.6,89.6,88.8
18 ou 19 anos,5674.661,447.747,1501.282,2499.77,779.849,446.013,18 ou 19 anos,5.6,6.7,6.9,5.1,4.9,5.2,18 ou 19 anos,82.9,69.4,73.5,90.4,88.5,88.2
20 a 24 anos,12577.618,978.154,3079.33,5588.119,1872.02,1059.995,20 a 24 anos,12.3,14.6,14.1,11.3,11.9,12.4,20 a 24 anos,80.7,66.4,69.9,88.4,86.4,86.3
25 a 29 anos,11652.893,867.002,2705.732,5361.246,1712.573,1006.34,25 a 29 anos,11.4,12.9,12.4,10.9,10.9,11.8,25 a 29 anos,76.3,62.2,62.6,85.4,82.5,83.5
30 a 34 anos,11745.334,785.641,2534.213,5627.652,1794.353,1003.475,30 a 34 anos,11.5,11.7,11.6,11.4,11.4,11.8,30 a 34 anos,72.1,55.6,56.9,82.1,79.1,77.8
35 a 39 anos,10360.626,689.509,2065.623,5075.048,1595.845,934.601,35 a 39 anos,10.1,10.3,9.5,10.3,10.1,11,35 a 39 anos,65.7,51.2,48.4,75.5,74.6,72.8
40 a 44 anos,8647.055,498.875,1570.518,4466.117,1371.967,739.578,40 a 44 anos,8.5,7.4,7.2,9.1,8.7,8.7,40 a 44 anos,59.5,43.5,41.7,70.1,65.3,63.9
45 a 49 anos,6911.629,368.305,1153.212,3603.972,1185.669,600.471,45 a 49 anos,6.8,5.5,5.3,7.3,7.5,7,45 a 49 anos,50.8,37.2,32.8,60.8,56.7,55.2
50 a 54 anos,5750.488,263.62,857.133,3193.841,1000.205,435.689,50 a 54 anos,5.6,3.9,3.9,6.5,6.3,5.1,50 a 54 anos,44.3,29.8,27,54.5,46.8,46.7
