"Tabela 1.1.21 - Rendimento, médio e mediano, mensal domiciliar per capita das pessoas de 10 anos ou mais de idade, por utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões e os grupos de anos de estudo - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grandes Regiões e grupos de anos de estudo,Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$) (1),,,Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$) (1),,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil (2),1114,1391,743,733,843,566
Sem instrução e menos de 1 ano,678,989,653,590,682,579
1 a 3 anos,657,783,621,512,542,500
4 a 7 anos,750,802,713,560,572,549
8 a 10 anos,839,889,745,609,649,539
11 a 14 anos,1205,1269,943,860,919,669
15 anos ou mais,3123,3215,2043,2048,2149,1185
Norte (2),756,990,556,494,601,399
Sem instrução e menos de 1 ano,581,782,571,483,551,477
1 a 3 anos,500,646,475,365,446,349
4 a 7 anos,541,624,497,393,428,364
8 a 10 anos,620,695,527,438,488,393
11 a 14 anos,889,967,700,632,699,506
15 anos ou mais,2189,2290,1545,1433,1500,825
Nordeste (2),708,949,509,457,560,393
Sem instrução e menos de 1 ano,543,656,539,475,495,475
1 a 3 anos,456,536,441,345,375,338
4 a 7 anos,488,556,447,360,394,331
8 a 10 anos,547,598,479,396,434,349
11 a 14 anos,863,933,657,599,653,453
15 anos ou mais,2352,2466,1447,1496,1566,797
Sudeste (2),1316,1536,910,825,945,759
Sem instrução e menos de 1 ano,809,1097,773,742,700,749
1 a 3 anos,789,859,761,666,625,696
4 a 7 anos,872,887,859,696,650,749
8 a 10 anos,939,955,901,719,716,728
11 a 14 anos,1316,1352,1128,965,999,800
15 anos ou mais,3427,3494,2435,2286,2332,1497
Sul (2),1372,1612,996,945,1095,788
Sem instrução e menos de 1 ano,877,1071,848,787,820,787
1 a 3 anos,918,974,901,787,730,787
4 a 7 anos,964,968,961,788,748,788
8 a 10 anos,1077,1123,982,822,850,787
11 a 14 anos,1467,1523,1193,1133,1179,899
15 anos ou mais,3170,3246,2242,2231,2318,1356
Centro-Oeste (2),1359,1613,909,832,960,750
Sem instrução e menos de 1 ano,882,1247,836,787,787,784
1 a 3 anos,828,937,785,674,623,719
4 a 7 anos,881,920,840,666,661,686
8 a 10 anos,988,1012,933,736,748,713
11 a 14 anos,1395,1455,1107,996,1000,799
15 anos ou mais,3380,3468,2077,2198,2256,1187
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
"Nota: Exclusive as informações das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,
(1) Exclusive as informações das pessoas sem declaração de rendimento mensal domiciliar per capita. (2) Inclusive as informações das pessoas com anos de estudo não determinados.,,,,,,
