"Tabela 1.1.3.1 - Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.3.2 - Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,Sexo e grupos de idade,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901,Total,100,100,100,100,100,100
10 a 14 anos,4904.546,916.062,2253.844,1091.997,395.777,246.866,10 a 14 anos,6.5,11.7,8.5,4.1,4,5.1
15 a 17 anos,1917.103,366.248,889.552,428.148,146.217,86.938,15 a 17 anos,2.5,4.7,3.3,1.6,1.5,1.8
18 ou 19 anos,1166.696,197.644,542.365,265.657,101.17,59.86,18 ou 19 anos,1.5,2.5,2,1,1,1.2
20 a 24 anos,3013.242,495.235,1323.414,731.86,294.77,167.963,20 a 24 anos,4,6.3,5,2.8,2.9,3.5
25 a 29 anos,3622.684,527.417,1619.656,913.545,362.607,199.459,25 a 29 anos,4.8,6.7,6.1,3.5,3.6,4.1
30 a 34 anos,4535.348,626.898,1916.401,1230.527,475.025,286.497,30 a 34 anos,6,8,7.2,4.7,4.7,6
35 a 39 anos,5397.313,656.94,2203.403,1645.217,542.727,349.026,35 a 39 anos,7.1,8.4,8.3,6.2,5.4,7.3
40 a 44 anos,5889.363,648.385,2192.111,1903.354,728.121,417.392,40 a 44 anos,7.8,8.3,8.2,7.2,7.3,8.7
45 a 49 anos,6695.8,621.75,2359.935,2321.626,905.368,487.121,45 a 49 anos,8.9,7.9,8.9,8.8,9,10.1
50 a 54 anos,7237.805,620.911,2314.507,2669.699,1135.083,497.605,50 a 54 anos,9.6,7.9,8.7,10.1,11.3,10.3
55 a 59 anos,6937.348,527.656,2045.211,2761.699,1124.75,478.032,55 a 59 anos,9.2,6.7,7.7,10.5,11.2,9.9
60 anos ou mais,24256.484,1616.411,6918.421,10388.297,3801.213,1532.142,60 anos ou mais,32.1,20.7,26,39.4,38,31.9
Homens,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293,Homens,100,100,100,100,100,100
10 a 14 anos,2640.398,491.503,1208.878,599.946,208.534,131.537,10 a 14 anos,7.2,12,9.3,4.8,4.3,5.5
15 a 17 anos,1099.701,209.543,518.063,240.7,81.509,49.886,15 a 17 anos,3,5.1,4,1.9,1.7,2.1
18 ou 19 anos,654.987,109.192,307.401,153.213,52.262,32.919,18 ou 19 anos,1.8,2.7,2.4,1.2,1.1,1.4
20 a 24 anos,1665.34,269.743,718.8,421.802,162.542,92.453,20 a 24 anos,4.5,6.6,5.5,3.4,3.4,3.8
25 a 29 anos,1946.019,262.887,873.637,502.913,196.696,109.886,25 a 29 anos,5.3,6.4,6.7,4,4.1,4.6
30 a 34 anos,2433.604,334.476,1021.191,665.155,258.219,154.563,30 a 34 anos,6.6,8.2,7.8,5.3,5.3,6.4
35 a 39 anos,2775.005,335.375,1106.393,858.442,286.947,187.848,35 a 39 anos,7.5,8.2,8.5,6.9,5.9,7.8
40 a 44 anos,3036.681,348.376,1073.362,1013.098,386.822,215.023,40 a 44 anos,8.2,8.5,8.2,8.1,8,8.9
45 a 49 anos,3330.113,332.123,1166.686,1136.255,448.613,246.436,45 a 49 anos,9,8.1,8.9,9.1,9.3,10.3
50 a 54 anos,3527.604,314.434,1081.119,1332.209,552.579,247.263,50 a 54 anos,9.6,7.7,8.3,10.6,11.4,10.3
55 a 59 anos,3233.945,271.858,946.841,1245.418,539.72,230.108,55 a 59 anos,8.8,6.7,7.3,9.9,11.1,9.6
60 anos ou mais,10554.456,801.452,3027.592,4353.783,1666.258,705.371,60 anos ou mais,28.6,19.6,23.2,34.8,34.4,29.4
Mulheres,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608,Mulheres,100,100,100,100,100,100
10 a 14 anos,2264.148,424.559,1044.966,492.051,187.243,115.329,10 a 14 anos,5.9,11.4,7.7,3.6,3.6,4.8
15 a 17 anos,817.402,156.705,371.489,187.448,64.708,37.052,15 a 17 anos,2.1,4.2,2.7,1.4,1.3,1.5
18 ou 19 anos,511.709,88.452,234.964,112.444,48.908,26.941,18 ou 19 anos,1.3,2.4,1.7,0.8,0.9,1.1
20 a 24 anos,1347.902,225.492,604.614,310.058,132.228,75.51,20 a 24 anos,3.5,6,4.5,2.2,2.6,3.1
25 a 29 anos,1676.665,264.53,746.019,410.632,165.911,89.573,25 a 29 anos,4.3,7.1,5.5,3,3.2,3.7
30 a 34 anos,2101.744,292.422,895.21,565.372,216.806,131.934,30 a 34 anos,5.4,7.8,6.6,4.1,4.2,5.5
35 a 39 anos,2622.308,321.565,1097.01,786.775,255.78,161.178,35 a 39 anos,6.8,8.6,8.1,5.7,4.9,6.7
40 a 44 anos,2852.682,300.009,1118.749,890.256,341.299,202.369,40 a 44 anos,7.4,8,8.3,6.4,6.6,8.4
45 a 49 anos,3365.687,289.627,1193.249,1185.371,456.755,240.685,45 a 49 anos,8.7,7.7,8.8,8.6,8.8,10
50 a 54 anos,3710.201,306.477,1233.388,1337.49,582.504,250.342,50 a 54 anos,9.6,8.2,9.1,9.7,11.3,10.4
55 a 59 anos,3703.403,255.798,1098.37,1516.281,585.03,247.924,55 a 59 anos,9.6,6.8,8.1,11,11.3,10.3
60 anos ou mais,13702.028,814.959,3890.829,6034.514,2134.955,826.771,60 anos ou mais,35.4,21.8,28.8,43.6,41.3,34.4
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
