"Tabela 1.1.38 - Rendimento, médio e mediano, mensal domiciliar per capita das pessoas de 10 anos ou mais de idade, por utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$),,,Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$),,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,1114,1391,743,733,843,566
Norte,756,990,556,494,601,399
Rondônia,947,1190,728,692,800,552
Acre,754,1074,503,431,642,335
Amazonas,734,970,501,451,593,352
Roraima,974,1163,643,581,684,453
Pará,675,876,521,454,556,394
Região Metropolitana de Belém,900,1037,660,572,629,496
Amapá,822,1004,609,496,636,403
Tocantins,919,1260,660,575,753,500
Nordeste,708,949,509,457,560,393
Maranhão,616,947,439,393,524,312
Piauí,679,963,499,451,567,393
Ceará,660,874,496,449,556,394
Região Metropolitana de Fortaleza,844,1015,605,557,633,472
Rio Grande do Norte,797,1004,564,523,595,420
Paraíba,792,1026,545,497,577,419
Pernambuco,745,997,531,468,546,399
Região Metropolitana de Recife,937,1115,669,549,596,500
Alagoas,609,800,474,400,499,375
Sergipe,701,867,527,483,568,394
Bahia,739,962,531,486,582,394
Região Metropolitana de Salvador,1081,1227,725,660,699,562
Sudeste,1316,1536,910,825,945,759
Minas Gerais,1116,1375,785,765,845,636
Região Metropolitana de Belo Horizonte,1438,1671,930,858,979,766
Espírito Santo,1111,1329,808,765,836,642
Rio de Janeiro,1380,1611,932,789,864,763
Região Metropolitana do Rio de Janeiro,1489,1706,994,820,899,785
São Paulo,1408,1589,1000,926,1000,788
Região Metropolitana de São Paulo,1543,1743,1005,943,1022,788
Sul,1372,1612,996,945,1095,788
Paraná,1327,1612,893,874,1050,767
Região Metropolitana de Curitiba,1641,1937,1011,999,1219,787
Santa Catarina,1454,1663,1111,1059,1198,843
Rio Grande do Sul,1367,1582,1033,943,1033,798
Região Metropolitana de Porto Alegre,1558,1767,1076,989,1059,800
Centro-Oeste,1359,1613,909,832,960,750
Mato Grosso do Sul,1286,1494,921,850,960,784
Mato Grosso,1130,1359,848,788,903,742
Goiás,1104,1250,869,788,864,728
Distrito Federal,2239,2530,1184,1131,1324,785
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
