"Tabela 1.1.4.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.4.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a utilização da Internet, no período de referência dos últimos três meses - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Situação do domicílio, sexo e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Situação do domicílio, sexo e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901,Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964,Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293,Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776,Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608,Não utilizaram,42,51.5,53.6,35,39,35.1
Urbana,150985.43,10984.571,35540.011,70444.333,22018.341,11998.174,Urbana,100,100,100,100,100,100
Utilizaram,95539.941,6089.982,19283.95,47554.524,14487.229,8124.256,Utilizaram,63.3,55.4,54.3,67.5,65.8,67.7
Não utilizaram,55445.489,4894.589,16256.061,22889.809,7531.112,3873.918,Não utilizaram,36.7,44.6,45.7,32.5,34.2,32.3
Homens,71513.929,5360.132,16538.736,33330.111,10522.403,5762.547,Homens,100,100,100,100,100,100
Utilizaram,45364.701,2895.819,8937.96,22657.162,6987.883,3885.877,Utilizaram,63.4,54,54,68,66.4,67.4
Não utilizaram,26149.228,2464.313,7600.776,10672.949,3534.52,1876.67,Não utilizaram,36.6,46,46,32,33.6,32.6
Mulheres,79471.501,5624.439,19001.275,37114.222,11495.938,6235.627,Mulheres,100,100,100,100,100,100
Utilizaram,50175.24,3194.163,10345.99,24897.362,7499.346,4238.379,Utilizaram,63.1,56.8,54.4,67.1,65.2,68
Não utilizaram,29296.261,2430.276,8655.285,12216.86,3996.592,1997.248,Não utilizaram,36.9,43.2,45.6,32.9,34.8,32
Rural,26671.392,3552.297,12869.893,5154.276,3753.459,1341.467,Rural,100,100,100,100,100,100
Utilizaram,6543.149,625.329,2547.134,1692.459,1271.743,406.484,Utilizaram,24.5,17.6,19.8,32.8,33.9,30.3
Não utilizaram,20128.243,2926.968,10322.759,3461.817,2481.716,934.983,Não utilizaram,75.5,82.4,80.2,67.2,66.1,69.7
Homens,13975.47,1920.457,6642.896,2707.891,1979.516,724.71,Homens,100,100,100,100,100,100
Utilizaram,3226.845,303.808,1193.709,857.906,673.335,198.087,Utilizaram,23.1,15.8,18,31.7,34,27.3
Não utilizaram,10748.625,1616.649,5449.187,1849.985,1306.181,526.623,Não utilizaram,76.9,84.2,82,68.3,66,72.7
Mulheres,12695.922,1631.84,6226.997,2446.385,1773.943,616.757,Mulheres,100,100,100,100,100,100
Utilizaram,3316.304,321.521,1353.425,834.553,598.408,208.397,Utilizaram,26.1,19.7,21.7,34.1,33.7,33.8
Não utilizaram,9379.618,1310.319,4873.572,1611.832,1175.535,408.36,Não utilizaram,73.9,80.3,78.3,65.9,66.3,66.2
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
