"Tabela 1.1.5.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.5.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Sem instrução e menos de 1 ano,15072.679,1349.29,6906.856,4357.082,1490.43,969.021,Sem instrução e menos de 1 ano,8.5,9.3,14.3,5.8,5.8,7.3
1 a 3 anos,18008.775,1896.651,6555.832,6062.689,2298.554,1195.049,1 a 3 anos,10.1,13,13.5,8,8.9,9
4 a 7 anos,43944.651,3771.887,12304.824,17839.273,6840.289,3188.378,4 a 7 anos,24.7,25.9,25.4,23.6,26.5,23.9
8 a 10 anos,30607.987,2643.344,7542.612,13400.16,4687.615,2334.256,8 a 10 anos,17.2,18.2,15.6,17.7,18.2,17.5
11 a 14 anos,52112.57,3863.915,12051.713,24806.843,7422.807,3967.292,11 a 14 anos,29.3,26.6,24.9,32.8,28.8,29.7
15 anos ou mais,17694.809,979.505,2970.564,9090.527,2983.734,1670.479,15 anos ou mais,10,6.7,6.1,12,11.6,12.5
Não determinados,215.351,32.276,77.503,42.035,48.371,15.166,Não determinados,0.1,0.2,0.2,0.1,0.2,0.1
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Sem instrução e menos de 1 ano,7411.342,728.418,3628.746,1927.469,652.887,473.822,Sem instrução e menos de 1 ano,8.7,10,15.7,5.3,5.2,7.3
1 a 3 anos,9273.594,1080.98,3453.222,2974.478,1124.394,640.52,1 a 3 anos,10.8,14.8,14.9,8.3,9,9.9
4 a 7 anos,22136.936,1962.715,6200.997,8868.275,3442.861,1662.088,4 a 7 anos,25.9,27,26.7,24.6,27.5,25.6
8 a 10 anos,15264.678,1324.587,3631.273,6663.561,2431.532,1213.725,8 a 10 anos,17.9,18.2,15.7,18.5,19.4,18.7
11 a 14 anos,23939.96,1776.999,5162.557,11601.815,3598.835,1799.754,11 a 14 anos,28,24.4,22.3,32.2,28.8,27.7
15 anos ou mais,7357.037,391.365,1064.849,3981.947,1226.926,691.95,15 anos ou mais,8.6,5.4,4.6,11,9.8,10.7
Não determinados,105.852,15.525,39.988,20.457,24.484,5.398,Não determinados,0.1,0.2,0.2,0.1,0.2,0.1
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Sem instrução e menos de 1 ano,7661.337,620.872,3278.11,2429.613,837.543,495.199,Sem instrução e menos de 1 ano,8.3,8.6,13,6.1,6.3,7.2
1 a 3 anos,8735.181,815.671,3102.61,3088.211,1174.16,554.529,1 a 3 anos,9.5,11.2,12.3,7.8,8.8,8.1
4 a 7 anos,21807.715,1809.172,6103.827,8970.998,3397.428,1526.29,4 a 7 anos,23.7,24.9,24.2,22.7,25.6,22.3
8 a 10 anos,15343.309,1318.757,3911.339,6736.599,2256.083,1120.531,8 a 10 anos,16.6,18.2,15.5,17,17,16.4
11 a 14 anos,28172.61,2086.916,6889.156,13205.028,3823.972,2167.538,11 a 14 anos,30.6,28.8,27.3,33.4,28.8,31.6
15 anos ou mais,10337.772,588.14,1905.715,5108.58,1756.808,978.529,15 anos ou mais,11.2,8.1,7.6,12.9,13.2,14.3
Não determinados,109.499,16.751,37.515,21.578,23.887,9.768,Não determinados,0.1,0.2,0.1,0.1,0.2,0.1
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
