"Tabela 1.1.6.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.6.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.1.6.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,Sexo e grupos de anos de estudo,"Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,Sexo e grupos de anos de estudo,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Total,100,100,100,100,100,100,Total,57.5,46.2,45.1,65.1,61.1,64
Sem instrução e menos de 1 ano,1113.82,69.813,243.86,497.421,193.879,108.847,Sem instrução e menos de 1 ano,1.1,1,1.1,1,1.2,1.3,Sem instrução e menos de 1 ano,7.4,5.2,3.5,11.4,13,11.2
1 a 3 anos,3954.255,278.761,1009.096,1765.774,560.14,340.484,1 a 3 anos,3.9,4.2,4.6,3.6,3.6,4,1 a 3 anos,22,14.7,15.4,29.1,24.4,28.5
4 a 7 anos,18654.083,1307.027,4599.841,8244.357,2883.925,1618.933,4 a 7 anos,18.3,19.5,21.1,16.7,18.3,19,4 a 7 anos,42.4,34.7,37.4,46.2,42.2,50.8
8 a 10 anos,19955.815,1462.421,4319.37,9406.068,3163.897,1604.059,8 a 10 anos,19.5,21.8,19.8,19.1,20.1,18.8,8 a 10 anos,65.2,55.3,57.3,70.2,67.5,68.7
11 a 14 anos,41957.832,2736.153,8985.811,20787.217,6162.815,3285.836,11 a 14 anos,41.1,40.7,41.2,42.2,39.1,38.5,11 a 14 anos,80.5,70.8,74.6,83.8,83,82.8
15 anos ou mais,16328.442,847.863,2638.089,8515.873,2762.385,1564.232,15 anos ou mais,16,12.6,12.1,17.3,17.5,18.3,15 anos ou mais,92.3,86.6,88.8,93.7,92.6,93.6
Não determinados,118.843,13.273,35.017,30.273,31.931,8.349,Não determinados,0.1,0.2,0.2,0.1,0.2,0.1,Não determinados,55.2,41.1,45.2,72,66,55.1
Homens,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964,Homens,100,100,100,100,100,100,Homens,56.8,43.9,43.7,65.3,61.3,63
Sem instrução e menos de 1 ano,553.748,37.831,122.688,244.283,98.659,50.287,Sem instrução e menos de 1 ano,1.1,1.2,1.2,1,1.3,1.2,Sem instrução e menos de 1 ano,7.5,5.2,3.4,12.7,15.1,10.6
1 a 3 anos,2105.562,152.569,569.76,910.933,293.905,178.395,1 a 3 anos,4.3,4.8,5.6,3.9,3.8,4.4,1 a 3 anos,22.7,14.1,16.5,30.6,26.1,27.9
4 a 7 anos,9561.773,676.827,2414.433,4131.213,1474.933,864.367,4 a 7 anos,19.7,21.2,23.8,17.6,19.3,21.2,4 a 7 anos,43.2,34.5,38.9,46.6,42.8,52
8 a 10 anos,10024.418,720.239,2103.007,4721.791,1639.004,840.377,8 a 10 anos,20.6,22.5,20.8,20.1,21.4,20.6,8 a 10 anos,65.7,54.4,57.9,70.9,67.4,69.2
11 a 14 anos,19436.864,1263.369,3927.431,9744.177,3002.664,1499.223,11 a 14 anos,40,39.5,38.8,41.4,39.2,36.7,11 a 14 anos,81.2,71.1,76.1,84,83.4,83.3
