"Tabela 1.1.8.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.8.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e nível de instrução,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,Sexo e nível de instrução,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Sem instrução,15072.679,1349.29,6906.856,4357.082,1490.43,969.021,Sem instrução,8.5,9.3,14.3,5.8,5.8,7.3
Fundamental incompleto,62043.841,5676.718,18885.291,23939.395,9151.462,4390.975,Fundamental incompleto,34.9,39.1,39,31.7,35.5,32.9
Fundamental completo,17622.255,1386.372,4022.582,8037.103,2889.952,1286.246,Fundamental completo,9.9,9.5,8.3,10.6,11.2,9.6
Médio incompleto,12668.07,1220.588,3435.534,5267.153,1721.023,1023.772,Médio incompleto,7.1,8.4,7.1,7,6.7,7.7
Médio completo,43408.545,3275.276,10360.862,20669.712,5962.424,3140.271,Médio completo,24.4,22.5,21.4,27.3,23.1,23.5
Superior incompleto,8177.363,608.925,1745.846,3638.781,1383.347,800.464,Superior incompleto,4.6,4.2,3.6,4.8,5.4,6
Superior completo,18221.471,959.219,2915.569,9588.877,3060.77,1697.036,Superior completo,10.3,6.6,6,12.7,11.9,12.7
Não determinado,442.598,60.48,137.364,100.506,112.392,31.856,Não determinado,0.2,0.4,0.3,0.1,0.4,0.2
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Sem instrução,7411.342,728.418,3628.746,1927.469,652.887,473.822,Sem instrução,8.7,10,15.7,5.3,5.2,7.3
Fundamental incompleto,31453.607,3047.976,9667.493,11859.179,4574.034,2304.925,Fundamental incompleto,36.8,41.9,41.7,32.9,36.6,35.5
Fundamental completo,8890.197,715.977,1962.324,3999.121,1527.735,685.04,Fundamental completo,10.4,9.8,8.5,11.1,12.2,10.6
Médio incompleto,6231.004,592.075,1627.611,2622.123,867.998,521.197,Médio incompleto,7.3,8.1,7,7.3,6.9,8
Médio completo,20114.379,1527.597,4506.427,9706.448,2922.32,1451.587,Médio completo,23.5,21,19.4,26.9,23.4,22.4
Superior incompleto,3738.208,266.765,700.226,1777.389,662.457,331.371,Superior incompleto,4.4,3.7,3,4.9,5.3,5.1
Superior completo,7444.41,374.002,1020.753,4099.925,1240.984,708.746,Superior completo,8.7,5.1,4.4,11.4,9.9,10.9
Não determinado,206.252,27.779,68.052,46.348,53.504,10.569,Não determinado,0.2,0.4,0.3,0.1,0.4,0.2
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Sem instrução,7661.337,620.872,3278.11,2429.613,837.543,495.199,Sem instrução,8.3,8.6,13,6.1,6.3,7.2
Fundamental incompleto,30590.234,2628.742,9217.798,12080.216,4577.428,2086.05,Fundamental incompleto,33.2,36.2,36.5,30.5,34.5,30.4
Fundamental completo,8732.058,670.395,2060.258,4037.982,1362.217,601.206,Fundamental completo,9.5,9.2,8.2,10.2,10.3,8.8
Médio incompleto,6437.066,628.513,1807.923,2645.03,853.025,502.575,Médio incompleto,7,8.7,7.2,6.7,6.4,7.3
Médio completo,23294.166,1747.679,5854.435,10963.264,3040.104,1688.684,Médio completo,25.3,24.1,23.2,27.7,22.9,24.6
Superior incompleto,4439.155,342.16,1045.62,1861.392,720.89,469.093,Superior incompleto,4.8,4.7,4.1,4.7,5.4,6.8
Superior completo,10777.061,585.217,1894.816,5488.952,1819.786,988.29,Superior completo,11.7,8.1,7.5,13.9,13.7,14.4
Não determinado,236.346,32.701,69.312,54.158,58.888,21.287,Não determinado,0.3,0.5,0.3,0.1,0.4,0.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
