"Tabela 1.1.18.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.18.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, posição na ocupação e categoria do emprego no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,,"Utilização da Internet, no período de referência dos últimos três meses e grupamentos de atividade do trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227,Total,100,100,100,100,100,100
Empregados e trabalhador domésticos,63873.303,4346.747,14067.356,29896.837,10175.129,5387.234,Empregados e trabalhador domésticos,67,57.5,58.3,72.8,67.9,70.5
Com carteira de trabalho assinada,38841.496,1876.551,6434.598,20292.278,7022.756,3215.313,Com carteira de trabalho assinada,40.7,24.8,26.7,49.4,46.8,42.1
Militares e funcionários públicos estatutários,7328.011,705.076,1768.447,2977.494,1108.073,768.921,Militares e funcionários públicos estatutários,7.7,9.3,7.3,7.3,7.4,10.1
Outros sem carteira de trabalho assinada,17703.796,1765.12,5864.311,6627.065,2044.3,1403,Outros sem carteira de trabalho assinada,18.6,23.4,24.3,16.1,13.6,18.4
Empregados,57564.636,3910.423,12554.145,26959.054,9315.584,4825.43,Empregados,60.4,51.7,52,65.7,62.1,63.1
Com carteira de trabalho assinada,36825.347,1788.428,6113.067,19201.587,6724.638,2997.627,Com carteira de trabalho assinada,38.6,23.7,25.3,46.8,44.8,39.2
Militares e funcionários públicos estatutários,7328.011,705.076,1768.447,2977.494,1108.073,768.921,Militares e funcionários públicos estatutários,7.7,9.3,7.3,7.3,7.4,10.1
