"Tabela 1.1.19.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.19.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total (1),100,100,100,100,100,100
Sem rendimento (2),52271.646,5042.855,15206.225,21842.837,6416.769,3762.96,Sem rendimento (2),29.4,34.7,31.4,28.9,24.9,28.2
Até 1/2 salário mínimo,12370.685,1429.956,6807.58,2706.521,858.519,568.109,Até 1/2 salário mínimo,7,9.8,14.1,3.6,3.3,4.3
Mais de 1/2 a 1 salário mínimo,9223.096,1200.206,3914.037,2623.869,968.454,516.53,Mais de 1/2 a 1 salário mínimo,5.2,8.3,8.1,3.5,3.8,3.9
Mais de 1 a 2 salário mínimos,57148.711,4424.633,15939.489,24185.579,8333.608,4265.402,Mais de 1 a 2 salário mínimos,32.2,30.4,32.9,32,32.3,32
Mais de 2 a 3 salário mínimos,21456.307,1194,3272.864,10797.579,4324.007,1867.857,Mais de 2 a 3 salário mínimos,12.1,8.2,6.8,14.3,16.8,14
Mais de 3 a 5 salários mínimos,12502.189,657.855,1631.124,6540.301,2571.965,1100.944,Mais de 3 a 5 salários mínimos,7,4.5,3.4,8.7,10,8.3
Mais de 5 a 10 salário mínimos,7357.68,384.595,966.905,3785.938,1462.717,757.525,Mais de 5 a 10 salário mínimos,4.1,2.6,2,5,5.7,5.7
Mais de10 a 20 salário mínimos,2427.754,98.358,289.529,1324.727,423.379,291.761,Mais de10 a 20 salário mínimos,1.4,0.7,0.6,1.8,1.6,2.2
Mais de 20 salários mínimos,952.907,27.025,109.665,538.482,155.091,122.644,Mais de 20 salários mínimos,0.5,0.2,0.2,0.7,0.6,0.9
Utilizaram (1),102083.09,6715.311,21831.084,49246.983,15758.972,8530.74,Utilizaram (1),100,100,100,100,100,100
Sem rendimento (2),34129.448,2606.836,8450.719,15859.046,4496.937,2715.91,Sem rendimento (2),33.4,38.8,38.7,32.2,28.5,31.8
Até 1/2 salário mínimo,4464.72,452.032,1903.081,1393.823,414.303,301.481,Até 1/2 salário mínimo,4.4,6.7,8.7,2.8,2.6,3.5
Mais de 1/2 a 1 salário mínimo,4027.274,404.869,1357.951,1444.545,524.207,295.702,Mais de 1/2 a 1 salário mínimo,3.9,6,6.2,2.9,3.3,3.5
Mais de 1 a 2 salário mínimos,26095.961,1720.091,5957.69,12419.63,3868.056,2130.494,Mais de 1 a 2 salário mínimos,25.6,25.6,27.3,25.2,24.5,25
Mais de 2 a 3 salário mínimos,13254.943,628.503,1700.35,7110.522,2642.86,1172.708,Mais de 2 a 3 salário mínimos,13,9.4,7.8,14.4,16.8,13.7
Mais de 3 a 5 salários mínimos,9472.494,460.595,1236.498,5061.833,1891.748,821.82,Mais de 3 a 5 salários mínimos,9.3,6.9,5.7,10.3,12,9.6
Mais de 5 a 10 salário mínimos,6282.758,303.112,800.676,3301.514,1223.523,653.933,Mais de 5 a 10 salário mínimos,6.2,4.5,3.7,6.7,7.8,7.7
Mais de10 a 20 salário mínimos,2218.804,83.791,256.793,1221.058,387.01,270.152,Mais de10 a 20 salário mínimos,2.2,1.2,1.2,2.5,2.5,3.2
Mais de 20 salários mínimos,885.016,22.78,99.698,509.915,138.254,114.369,Mais de 20 salários mínimos,0.9,0.3,0.5,1,0.9,1.3
Não utilizaram (1),75573.732,7821.557,26578.82,26351.626,10012.828,4808.901,Não utilizaram (1),100,100,100,100,100,100
Sem rendimento (2),18142.198,2436.019,6755.506,5983.791,1919.832,1047.05,Sem rendimento (2),24,31.1,25.4,22.7,19.2,21.8
Até 1/2 salário mínimo,7905.965,977.924,4904.499,1312.698,444.216,266.628,Até 1/2 salário mínimo,10.5,12.5,18.5,5,4.4,5.5
Mais de 1/2 a 1 salário mínimo,5195.822,795.337,2556.086,1179.324,444.247,220.828,Mais de 1/2 a 1 salário mínimo,6.9,10.2,9.6,4.5,4.4,4.6
