"Tabela 1.1.24.1 - Pessoas de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.24.2 - Distribuição das pessoas de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,177656.822,15864.449,17478.969,15590.86,15275.577,32038.621,28143.847,23890.529,29373.97,Brasil,100,8.9,9.8,8.8,8.6,18,15.8,13.4,16.5
Norte,14536.868,1690.735,1733.935,1473.389,1394.419,2758.988,2137.315,1578.667,1769.42,Norte,100,11.6,11.9,10.1,9.6,19,14.7,10.9,12.2
Rondônia,1498.147,149.126,164.001,143.192,147.249,289.913,243.175,182.38,179.111,Rondônia,100,10,10.9,9.6,9.8,19.4,16.2,12.2,12
Acre,651.348,78.655,89.876,73.946,62.182,119.823,97.223,58.345,71.298,Acre,100,12.1,13.8,11.4,9.5,18.4,14.9,9,10.9
Amazonas,3216.277,406.506,386.315,371.343,317.034,617.421,442.968,326.448,348.242,Amazonas,100,12.6,12,11.5,9.9,19.2,13.8,10.1,10.8
Roraima,420.511,57.223,52.29,42.98,39.06,85.562,57.646,45.254,40.496,Roraima,100,13.6,12.4,10.2,9.3,20.3,13.7,10.8,9.6
Pará,6837.456,783.148,829.492,655.669,654.489,1274.097,1022.255,746.832,871.474,Pará,100,11.5,12.1,9.6,9.6,18.6,15,10.9,12.7
Região Metropolitana de Belém,1922.792,164.834,192.105,187.794,186.599,381.125,315.822,233.626,260.887,Região Metropolitana de Belém,100,8.6,10,9.8,9.7,19.8,16.4,12.2,13.6
Amapá,623.225,78.548,76.465,72.786,60.703,129.785,85.131,58.07,61.737,Amapá,100,12.6,12.3,11.7,9.7,20.8,13.7,9.3,9.9
Tocantins,1289.904,137.529,135.496,113.473,113.702,242.387,188.917,161.338,197.062,Tocantins,100,10.7,10.5,8.8,8.8,18.8,14.6,12.5,15.3
Nordeste,48409.904,5039.217,5294.02,4402.744,4325.388,8719.64,7275.776,5770.891,7582.228,Nordeste,100,10.4,10.9,9.1,8.9,18,15,11.9,15.7
Maranhão,5654.411,731.303,700.514,535.174,556.919,1016.19,746.363,587.77,780.178,Maranhão,100,12.9,12.4,9.5,9.8,18,13.2,10.4,13.8
Piauí,2737.791,310.133,306.207,254.408,231.333,514.467,407.509,324.212,389.522,Piauí,100,11.3,11.2,9.3,8.4,18.8,14.9,11.8,14.2
Ceará,7675.584,716.393,819.429,750.399,722.384,1355.834,1125.462,854.859,1330.824,Ceará,100,9.3,10.7,9.8,9.4,17.7,14.7,11.1,17.3
Região Metropolitana de Fortaleza,3344.522,303.606,343.575,347.12,330.848,625.592,528.634,388.519,476.628,Região Metropolitana de Fortaleza,100,9.1,10.3,10.4,9.9,18.7,15.8,11.6,14.3
Rio Grande do Norte,2975.62,291.755,303.076,294.606,286.828,529.156,466.265,367.349,436.585,Rio Grande do Norte,100,9.8,10.2,9.9,9.6,17.8,15.7,12.3,14.7
Paraíba,3411.321,342.623,341.316,321.287,301.88,608.308,535.923,424.705,535.279,Paraíba,100,10,10,9.4,8.8,17.8,15.7,12.4,15.7
