"Tabela 1.1.26.1 - Pessoas de 10 anos ou mais de idade, total e que utilizaram a Internet, no período de referência dos últimos três meses, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.26.2 - Distribuição das pessoas de 10 anos ou mais de idade, total e que utilizaram a Internet, no período de referência dos últimos três meses, e percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,Grandes Regiões e Unidades da Federação,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,
,Total,Situação do domicílio,,"Utilizaram a  Internet, no período de referência dos últimos três meses",,,,Total,Situação do domicílio,,"Utilizaram a  Internet, no período de referência dos últimos três meses",,,,,
,,,,Total,Situação do domicílio,,,,,,Total,Situação do domicílio,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural,,,Urbana,Rural,,Urbana,Rural,,Urbana,Rural
Brasil,177656.822,150985.43,26671.392,102083.09,95539.941,6543.149,Brasil,100,85,15,100,93.6,6.4,57.5,63.3,24.5
Norte,14536.868,10984.571,3552.297,6715.311,6089.982,625.329,Norte,100,75.6,24.4,100,90.7,9.3,46.2,55.4,17.6
Rondônia,1498.147,1139.346,358.801,710.57,618.163,92.407,Rondônia,100,76.1,23.9,100,87,13,47.4,54.3,25.8
Acre,651.348,472.313,179.035,285.382,256.828,28.554,Acre,100,72.5,27.5,100,90,10,43.8,54.4,15.9
Amazonas,3216.277,2727.425,488.852,1596.758,1554.442,42.316,Amazonas,100,84.8,15.2,100,97.3,2.7,49.6,57,8.7
Roraima,420.511,356.051,64.46,268.027,251.707,16.32,Roraima,100,84.7,15.3,100,93.9,6.1,63.7,70.7,25.3
Pará,6837.456,4734.417,2103.039,2962.659,2572.418,390.241,Pará,100,69.2,30.8,100,86.8,13.2,43.3,54.3,18.6
Amapá,623.225,546.758,76.467,334.728,327.106,7.622,Amapá,100,87.7,12.3,100,97.7,2.3,53.7,59.8,10
Tocantins,1289.904,1008.261,281.643,557.187,509.318,47.869,Tocantins,100,78.2,21.8,100,91.4,8.6,43.2,50.5,17
Nordeste,48409.904,35540.011,12869.893,21831.084,19283.95,2547.134,Nordeste,100,73.4,26.6,100,88.3,11.7,45.1,54.3,19.8
Maranhão,5654.411,3383.818,2270.593,1940.697,1560.38,380.317,Maranhão,100,59.8,40.2,100,80.4,19.6,34.3,46.1,16.7
Piauí,2737.791,1821.437,916.354,1061,893.824,167.176,Piauí,100,66.5,33.5,100,84.2,15.8,38.8,49.1,18.2
Ceará,7675.584,5593.097,2082.487,3331.027,2891.992,439.035,Ceará,100,72.9,27.1,100,86.8,13.2,43.4,51.7,21.1
