"Tabela 1.1.27.1 - Pessoas de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.1.27.2 - Distribuição das pessoas de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total,Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,177656.822,33081.454,43944.651,30607.987,52112.57,17694.809,215.351,Brasil,100,18.6,24.7,17.2,29.3,10,0.1
Norte,14536.868,3245.941,3771.887,2643.344,3863.915,979.505,32.276,Norte,100,22.3,25.9,18.2,26.6,6.7,0.2
Rondônia,1498.147,320.424,415.267,265.048,370.15,125.638,1.62,Rondônia,100,21.4,27.7,17.7,24.7,8.4,0.1
Acre,651.348,175.364,135.415,123.511,161.536,51.843,3.679,Acre,100,26.9,20.8,19,24.8,8,0.6
Amazonas,3216.277,578.997,800.046,572.139,1012.207,241.172,11.716,Amazonas,100,18,24.9,17.8,31.5,7.5,0.4
Roraima,420.511,67.985,101.027,76.251,131.447,43.595,0.206,Roraima,100,16.2,24,18.1,31.3,10.4,0
Pará,6837.456,1694.791,1864.47,1264.05,1657.029,344.408,12.708,Pará,100,24.8,27.3,18.5,24.2,5,0.2
Região Metropolitana de Belém,1922.792,228.329,416.559,418.982,678.032,175.396,5.494,Região Metropolitana de Belém,100,11.9,21.7,21.8,35.3,9.1,0.3
Amapá,623.225,108.511,148.707,117.461,193.643,53.063,1.84,Amapá,100,17.4,23.9,18.8,31.1,8.5,0.3
Tocantins,1289.904,299.869,306.955,224.884,337.903,119.786,0.507,Tocantins,100,23.2,23.8,17.4,26.2,9.3,0
Nordeste,48409.904,13462.688,12304.824,7542.612,12051.713,2970.564,77.503,Nordeste,100,27.8,25.4,15.6,24.9,6.1,0.2
Maranhão,5654.411,1695.642,1440.087,953.807,1303.329,254.034,7.512,Maranhão,100,30,25.5,16.9,23,4.5,0.1
Piauí,2737.791,841.499,737.354,449.729,539.224,169.423,0.562,Piauí,100,30.7,26.9,16.4,19.7,6.2,0
Ceará,7675.584,2108.595,1786.727,1331.956,2015.451,421.733,11.122,Ceará,100,27.5,23.3,17.4,26.3,5.5,0.1
Região Metropolitana de Fortaleza,3344.522,582.786,755.11,637.608,1112.137,250.158,6.723,Região Metropolitana de Fortaleza,100,17.4,22.6,19.1,33.3,7.5,0.2
Rio Grande do Norte,2975.62,720.598,795.482,441.53,788.401,222.546,7.063,Rio Grande do Norte,100,24.2,26.7,14.8,26.5,7.5,0.2
Paraíba,3411.321,964.514,839.75,490.648,819.688,293.489,3.232,Paraíba,100,28.3,24.6,14.4,24,8.6,0.1
Pernambuco,8100.013,2103.938,2025.941,1249.758,2093.985,605.556,20.835,Pernambuco,100,26,25,15.4,25.9,7.5,0.3
Região Metropolitana de Recife,3454.326,545.381,783.556,563.551,1203.92,353.237,4.681,Região Metropolitana de Recife,100,15.8,22.7,16.3,34.9,10.2,0.1
Alagoas,2849.124,886.567,816.11,401.44,569.452,171.779,3.776,Alagoas,100,31.1,28.6,14.1,20,6,0.1
Sergipe,1920.947,538.154,518.357,285.214,464.854,110.338,4.03,Sergipe,100,28,27,14.8,24.2,5.7,0.2
