"Tabela 1.1.28.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.1.28.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Tabela 1.1.28.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total,Grupos de anos de estudo,,,,,,,Total (1),Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,102083.09,5068.075,18654.083,19955.815,41957.832,16328.442,118.843,Brasil,100,5,18.3,19.5,41.1,16,0.1,Brasil,57.5,15.3,42.4,65.2,80.5,92.3,55.2
Norte,6715.311,348.574,1307.027,1462.421,2736.153,847.863,13.273,Norte,100,5.2,19.5,21.8,40.7,12.6,0.2,Norte,46.2,10.7,34.7,55.3,70.8,86.6,41.1
Rondônia,710.57,42.42,158.873,148.588,257.749,101.86,1.08,Rondônia,100,6,22.4,20.9,36.3,14.3,0.2,Rondônia,47.4,13.2,38.3,56.1,69.6,81.1,66.7
Acre,285.382,18.042,40.826,63.25,116.675,44.838,1.751,Acre,100,6.3,14.3,22.2,40.9,15.7,0.6,Acre,43.8,10.3,30.1,51.2,72.2,86.5,47.6
Amazonas,1596.758,73.231,292.305,299.736,719.923,209.286,2.277,Amazonas,100,4.6,18.3,18.8,45.1,13.1,0.1,Amazonas,49.6,12.6,36.5,52.4,71.1,86.8,19.4
Roraima,268.027,13.017,50.207,50.632,111.816,42.149,0.206,Roraima,100,4.9,18.7,18.9,41.7,15.7,0.1,Roraima,63.7,19.1,49.7,66.4,85.1,96.7,100
Pará,2962.659,162.343,603.315,719.44,1174.131,296.785,6.645,Pará,100,5.5,20.4,24.3,39.6,10,0.2,Pará,43.3,9.6,32.4,56.9,70.9,86.2,52.3
Região Metropolitana de Belém,1227.217,54.131,195.749,271.652,540.871,160.745,4.069,Região Metropolitana de Belém,100,4.4,16,22.1,44.1,13.1,0.3,Região Metropolitana de Belém,63.8,23.7,47,64.8,79.8,91.6,74.1
Amapá,334.728,14.188,60.958,68.846,140.562,48.86,1.314,Amapá,100,4.2,18.2,20.6,42,14.6,0.4,Amapá,53.7,13.1,41,58.6,72.6,92.1,71.4
Tocantins,557.187,25.333,100.543,111.929,215.297,104.085,-,Tocantins,100,4.5,18,20.1,38.6,18.7,-,Tocantins,43.2,8.4,32.8,49.8,63.7,86.9,-
Nordeste,21831.084,1252.956,4599.841,4319.37,8985.811,2638.089,35.017,Nordeste,100,5.7,21.1,19.8,41.2,12.1,0.2,Nordeste,45.1,9.3,37.4,57.3,74.6,88.8,45.2
Maranhão,1940.697,84.939,388.593,429.164,822.294,212.703,3.004,Maranhão,100,4.4,20,22.1,42.4,11,0.2,Maranhão,34.3,5,27,45,63.1,83.7,40
Piauí,1061,48.403,224.581,254.984,383.311,149.159,0.562,Piauí,100,4.6,21.2,24,36.1,14.1,0.1,Piauí,38.8,5.8,30.5,56.7,71.1,88,100
Ceará,3331.027,147.345,627.795,724.672,1464.546,362.069,4.6,Ceará,100,4.4,18.8,21.8,44,10.9,0.1,Ceará,43.4,7,35.1,54.4,72.7,85.9,41.4
Região Metropolitana de Fortaleza,1950.387,82.087,361.643,399.123,875.777,227.157,4.6,Região Metropolitana de Fortaleza,100,4.2,18.5,20.5,44.9,11.6,0.2,Região Metropolitana de Fortaleza,58.3,14.1,47.9,62.6,78.7,90.8,68.4
Rio Grande do Norte,1570.481,93.965,353.246,270.558,641.475,206.293,4.944,Rio Grande do Norte,100,6,22.5,17.2,40.8,13.1,0.3,Rio Grande do Norte,52.8,13,44.4,61.3,81.4,92.7,70
Paraíba,1738.3,122.826,374.304,317.397,668.421,252.767,2.585,Paraíba,100,7.1,21.5,18.3,38.5,14.5,0.1,Paraíba,51,12.7,44.6,64.7,81.5,86.1,80
Pernambuco,3710.885,232.723,717.855,702.322,1527.798,522.543,7.644,Pernambuco,100,6.3,19.3,18.9,41.2,14.1,0.2,Pernambuco,45.8,11.1,35.4,56.2,73,86.3,36.7
Região Metropolitana de Recife,2080,110.408,363.974,358.449,934.677,309.463,3.029,Região Metropolitana de Recife,100,5.3,17.5,17.2,44.9,14.9,0.1,Região Metropolitana de Recife,60.2,20.2,46.5,63.6,77.6,87.6,64.7
Alagoas,1175.405,74.885,292.587,225.262,426.619,154.164,1.888,Alagoas,100,6.4,24.9,19.2,36.3,13.1,0.2,Alagoas,41.3,8.4,35.9,56.1,74.9,89.7,50
Sergipe,982.846,67.826,254.057,184.396,372.097,101.174,3.296,Sergipe,100,6.9,25.8,18.8,37.9,10.3,0.3,Sergipe,51.2,12.6,49,64.7,80,91.7,81.8
Bahia,6320.443,380.044,1366.823,1210.615,2679.25,677.217,6.494,Bahia,100,6,21.6,19.2,42.4,10.7,0.1,Bahia,48.3,10.5,40.9,62.5,77.5,93.8,33.5
Região Metropolitana de Salvador,2468.34,130.022,438.099,408.864,1156.397,333.952,1.006,Região Metropolitana de Salvador,100,5.3,17.7,16.6,46.8,13.5,0,Região Metropolitana de Salvador,71,30,56.9,71.7,85.5,95.6,75
Sudeste,49246.983,2263.195,8244.357,9406.068,20787.217,8515.873,30.273,Sudeste,100,4.6,16.7,19.1,42.2,17.3,0.1,Sudeste,65.1,21.7,46.2,70.2,83.8,93.7,72
Minas Gerais,10332.092,453.104,2125.063,2060.703,4162.299,1519.514,11.409,Minas Gerais,100,4.4,20.6,19.9,40.3,14.7,0.1,Minas Gerais,56.2,13.8,39.4,68.5,82,94.5,74.4
Região Metropolitana de Belo Horizonte,3175.428,152.687,564.108,588.039,1316.811,550.893,2.89,Região Metropolitana de Belo Horizonte,100,4.8,17.8,18.5,41.5,17.3,0.1,Região Metropolitana de Belo Horizonte,68.6,25.8,49.9,73.2,86.2,96.5,77.8
Espírito Santo,2004.128,101.957,378.4,373.594,812.554,335.223,2.4,Espírito Santo,100,5.1,18.9,18.6,40.5,16.7,0.1,Espírito Santo,58.5,16.9,43.4,65.2,80.9,90.2,66.7
Rio de Janeiro,9707.466,518.363,1585.841,1877.326,3933.415,1784.805,7.716,Rio de Janeiro,100,5.3,16.3,19.3,40.5,18.4,0.1,Rio de Janeiro,66.3,27.6,50.6,66.5,80.9,92.3,70.7
Região Metropolitana do Rio de Janeiro,7529.582,389.434,1154.357,1430.692,3069.753,1480.262,5.084,Região Metropolitana do Rio de Janeiro,100,5.2,15.3,19,40.8,19.7,0.1,Região Metropolitana do Rio de Janeiro,69.9,32.2,54.1,68.1,82.4,93,66.7
São Paulo,27203.297,1189.771,4155.053,5094.445,11878.949,4876.331,8.748,São Paulo,100,4.4,15.3,18.7,43.7,17.9,0,São Paulo,69.5,25.5,49.3,72.8,85.7,94.2,71.8
Região Metropolitana de São Paulo,13592.382,604.276,1894.605,2483.85,5881.705,2721.494,6.452,Região Metropolitana de São Paulo,100,4.4,13.9,18.3,43.3,20,0,Região Metropolitana de São Paulo,73.1,30.9,51.6,74.7,86.5,95.9,100
Sul,15758.972,754.019,2883.925,3163.897,6162.815,2762.385,31.931,Sul,100,4.8,18.3,20.1,39.1,17.5,0.2,Sul,61.1,19.9,42.2,67.5,83,92.6,66
Paraná,5897.03,260.881,1033.225,1126.227,2373.151,1085.12,18.426,Paraná,100,4.4,17.5,19.1,40.2,18.4,0.3,Paraná,60.5,16.4,44.4,65.7,81.4,93.2,58.9
Região Metropolitana de Curitiba,2065.537,86.922,313.137,354.414,847.654,459.087,4.323,Região Metropolitana de Curitiba,100,4.2,15.2,17.2,41,22.2,0.2,Região Metropolitana de Curitiba,68.2,23.2,49.8,66.2,84.5,95,75
Santa Catarina,3767.691,196.341,611.956,758.829,1520.535,669.282,10.748,Santa Catarina,100,5.2,16.2,20.1,40.4,17.8,0.3,Santa Catarina,62.3,24.5,40.7,66.2,81.8,92.5,75
Rio Grande do Sul,6094.251,296.797,1238.744,1278.841,2269.129,1007.983,2.757,Rio Grande do Sul,100,4.9,20.3,21,37.2,16.5,0,Rio Grande do Sul,61.1,21.2,41.2,70,85.8,92,100
Região Metropolitana de Porto Alegre,2610.59,130.244,475.679,519.438,1004.235,478.97,2.024,Região Metropolitana de Porto Alegre,100,5,18.2,19.9,38.5,18.3,0.1,Região Metropolitana de Porto Alegre,70.1,30.2,51.2,73.1,88,93.9,100
Centro-Oeste,8530.74,449.331,1618.933,1604.059,3285.836,1564.232,8.349,Centro-Oeste,100,5.3,19,18.8,38.5,18.3,0.1,Centro-Oeste,64,20.8,50.8,68.7,82.8,93.6,55.1
Mato Grosso do Sul,1455.931,92.787,334.047,263.34,519.189,243.033,3.535,Mato Grosso do Sul,100,6.4,22.9,18.1,35.7,16.7,0.2,Mato Grosso do Sul,63.7,21.6,53.8,73.2,84.8,94,80
Mato Grosso,1526.026,89.333,271.044,327.096,603.411,233.828,1.314,Mato Grosso,100,5.9,17.8,21.4,39.5,15.3,0.1,Mato Grosso,55.2,17.2,43.2,58.5,75.6,91.4,23.1
Goiás,3541.957,171.804,717.536,720.237,1390.266,541.21,0.904,Goiás,100,4.9,20.3,20.3,39.3,15.3,0,Goiás,61.8,18.4,48.4,69.9,82.2,91.9,50
Distrito Federal,2006.826,95.407,296.306,293.386,772.97,546.161,2.596,Distrito Federal,100,4.8,14.8,14.6,38.5,27.2,0.1,Distrito Federal,78.4,34,64.9,76.3,89.2,96.2,80
,,,,,,,,,,,,,,,,,,,,,,,
