"Tabela 1.1.29.1 - Pessoas de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.29.2 - Distribuição das pessoas de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,
,Total,Nível de instrução,,,,,,,,Total,Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,177656.822,77116.52,17622.255,12668.07,43408.545,8177.363,18221.471,442.598,Brasil,100,43.4,9.9,7.1,24.4,4.6,10.3,0.2
Norte,14536.868,7026.008,1386.372,1220.588,3275.276,608.925,959.219,60.48,Norte,100,48.3,9.5,8.4,22.5,4.2,6.6,0.4
Rondônia,1498.147,736.231,152.649,106.995,298.555,79.701,117.532,6.484,Rondônia,100,49.1,10.2,7.1,19.9,5.3,7.8,0.4
Acre,651.348,310.779,65.343,56.416,133.328,31.009,49.042,5.431,Acre,100,47.7,10,8.7,20.5,4.8,7.5,0.8
Amazonas,3216.277,1381.645,275.973,284.777,850.763,159.161,243.455,20.503,Amazonas,100,43,8.6,8.9,26.5,4.9,7.6,0.6
Roraima,420.511,169.012,39.26,36.371,102.714,29.557,42.771,0.826,Roraima,100,40.2,9.3,8.6,24.4,7,10.2,0.2
Pará,6837.456,3563.276,674.392,575.281,1457.931,204.775,338.731,23.07,Pará,100,52.1,9.9,8.4,21.3,3,5,0.3
Região Metropolitana de Belém,1922.792,645.295,225.061,189.85,581.994,95.017,176.417,9.158,Região Metropolitana de Belém,100,33.6,11.7,9.9,30.3,4.9,9.2,0.5
Amapá,623.225,257.48,61.751,54.136,158.17,38.362,50.174,3.152,Amapá,100,41.3,9.9,8.7,25.4,6.2,8.1,0.5
Tocantins,1289.904,607.585,117.004,106.612,273.815,66.36,117.514,1.014,Tocantins,100,47.1,9.1,8.3,21.2,5.1,9.1,0.1
Nordeste,48409.904,25792.147,4022.582,3435.534,10360.862,1745.846,2915.569,137.364,Nordeste,100,53.3,8.3,7.1,21.4,3.6,6,0.3
Maranhão,5654.411,3138.736,487.797,459.245,1154.512,156.337,246.514,11.27,Maranhão,100,55.5,8.6,8.1,20.4,2.8,4.4,0.2
Piauí,2737.791,1578.853,218.95,230.779,460.983,79.367,168.297,0.562,Piauí,100,57.7,8,8.4,16.8,2.9,6.1,0
Ceará,7675.584,3897.09,761.141,558.252,1703.717,322.621,410.846,21.917,Ceará,100,50.8,9.9,7.3,22.2,4.2,5.4,0.3
Região Metropolitana de Fortaleza,3344.522,1339.664,374,256.178,932.376,182.582,247.337,12.385,Região Metropolitana de Fortaleza,100,40.1,11.2,7.7,27.9,5.5,7.4,0.4
Rio Grande do Norte,2975.62,1517.492,223.244,212.636,674.659,116.565,219.723,11.301,Rio Grande do Norte,100,51,7.5,7.1,22.7,3.9,7.4,0.4
Paraíba,3411.321,1806.204,270.859,215.909,665.194,160.963,287.02,5.172,Paraíba,100,52.9,7.9,6.3,19.5,4.7,8.4,0.2
Pernambuco,8100.013,4136.263,702.959,524.248,1813.913,288.043,597.585,37.002,Pernambuco,100,51.1,8.7,6.5,22.4,3.6,7.4,0.5
Região Metropolitana de Recife,3454.326,1332.243,319.075,237.313,1042.321,161.879,352.957,8.538,Região Metropolitana de Recife,100,38.6,9.2,6.9,30.2,4.7,10.2,0.2
