"Tabela 1.1.30.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.30.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.1.30.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,,
,Total,Nível de instrução,,,,,,,,Total,Nível de instrução,,,,,,,,Total (1),Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,102083.09,23731.555,10111.967,9650.797,33631.347,7746.769,16908.158,302.497,Brasil,100,23.2,9.9,9.5,32.9,7.6,16.6,0.3,Brasil,57.5,30.8,57.4,76.2,77.5,94.7,92.8,68.3
Norte,6715.311,1656.583,657.403,786.453,2187.786,557.257,838.973,30.856,Norte,100,24.7,9.8,11.7,32.6,8.3,12.5,0.5,Norte,46.2,23.6,47.4,64.4,66.8,91.5,87.5,51
Rondônia,710.57,201.293,74.291,71.055,191.829,69.702,98.078,4.322,Rondônia,100,28.3,10.5,10,27,9.8,13.8,0.6,Rondônia,47.4,27.3,48.7,66.4,64.3,87.5,83.4,66.7
Acre,285.382,58.868,26.46,35.388,90.922,28.38,42.211,3.153,Acre,100,20.6,9.3,12.4,31.9,9.9,14.8,1.1,Acre,43.8,18.9,40.5,62.7,68.2,91.5,86.1,58.1
Amazonas,1596.758,365.536,118.783,176.073,567.27,149.397,212.542,7.157,Amazonas,100,22.9,7.4,11,35.5,9.4,13.3,0.4,Amazonas,49.6,26.5,43,61.8,66.7,93.9,87.3,34.9
Roraima,268.027,63.224,23.141,26.871,83.704,28.936,41.325,0.826,Roraima,100,23.6,8.6,10,31.2,10.8,15.4,0.3,Roraima,63.7,37.4,58.9,73.9,81.5,97.9,96.6,100
Pará,2962.659,766.378,334.835,377.74,990.654,183.487,296.775,12.79,Pará,100,25.9,11.3,12.8,33.4,6.2,10,0.4,Pará,43.3,21.5,49.6,65.7,67.9,89.6,87.6,55.4
Região Metropolitana de Belém,1227.217,250.084,126.153,142.241,448.086,91.764,161.766,7.123,Região Metropolitana de Belém,100,20.4,10.3,11.6,36.5,7.5,13.2,0.6,Região Metropolitana de Belém,63.8,38.8,56.1,74.9,77,96.6,91.7,77.8
Amapá,334.728,75.408,31.269,36.528,105.352,37.836,46.234,2.101,Amapá,100,22.5,9.3,10.9,31.5,11.3,13.8,0.6,Amapá,53.7,29.3,50.6,67.5,66.6,98.6,92.1,66.7
Tocantins,557.187,125.876,48.624,62.798,158.055,59.519,101.808,0.507,Tocantins,100,22.6,8.7,11.3,28.4,10.7,18.3,0.1,Tocantins,43.2,20.7,41.6,58.9,57.7,89.7,86.6,50
Nordeste,21831.084,5853.409,1967.037,2309.745,7372.022,1636.589,2615.289,76.993,Nordeste,100,26.8,9,10.6,33.8,7.5,12,0.4,Nordeste,45.1,22.7,48.9,67.2,71.2,93.7,89.7,56.1
Maranhão,1940.697,473.532,180.379,247.282,683.998,136.046,214.953,4.507,Maranhão,100,24.4,9.3,12.7,35.2,7,11.1,0.2,Maranhão,34.3,15.1,37,53.8,59.2,87,87.2,40
Piauí,1061,272.984,105.256,149.728,309.01,75.99,147.47,0.562,Piauí,100,25.7,9.9,14.1,29.1,7.2,13.9,0.1,Piauí,38.8,17.3,48.1,64.9,67,95.7,87.6,100
Ceará,3331.027,775.14,354.823,362.696,1169.419,300.476,356.72,11.753,Ceará,100,23.3,10.7,10.9,35.1,9,10.7,0.4,Ceará,43.4,19.9,46.6,65,68.6,93.1,86.8,53.6
Região Metropolitana de Fortaleza,1950.387,443.73,204.509,189.66,703.091,176.569,223.274,9.554,Região Metropolitana de Fortaleza,100,22.8,10.5,9.7,36,9.1,11.4,0.5,Região Metropolitana de Fortaleza,58.3,33.1,54.7,74,75.4,96.7,90.3,77.1
Rio Grande do Norte,1570.481,447.211,121.505,145.522,534.091,110.914,202.763,8.475,Rio Grande do Norte,100,28.5,7.7,9.3,34,7.1,12.9,0.5,Rio Grande do Norte,52.8,29.5,54.4,68.4,79.2,95.2,92.3,75
Paraíba,1738.3,497.13,153.207,162.25,519.097,154.496,247.595,4.525,Paraíba,100,28.6,8.8,9.3,29.9,8.9,14.2,0.3,Paraíba,51,27.5,56.6,75.1,78,96,86.3,87.5
Pernambuco,3710.885,950.854,330.27,362.923,1261.915,262.411,526.015,16.497,Pernambuco,100,25.6,8.9,9.8,34,7.1,14.2,0.4,Pernambuco,45.8,23,47,69.2,69.6,91.1,88,44.6
Região Metropolitana de Recife,2080,474.658,175.636,180.609,781.884,147.016,315.24,4.957,Região Metropolitana de Recife,100,22.8,8.4,8.7,37.6,7.1,15.2,0.2,Região Metropolitana de Recife,60.2,35.6,55,76.1,75,90.8,89.3,58.1
Alagoas,1175.405,367.472,102.563,120.183,333.488,88.093,159.202,4.404,Alagoas,100,31.3,8.7,10.2,28.4,7.5,13.5,0.4,Alagoas,41.3,21.6,46.4,69,70.6,96.6,89.7,53.8
Sergipe,982.846,321.883,85.042,96.423,305.378,67.077,100.816,6.227,Sergipe,100,32.8,8.7,9.8,31.1,6.8,10.3,0.6,Sergipe,51.2,30.4,56.4,74.1,77.8,92,91.7,80.9
Bahia,6320.443,1747.203,533.992,662.738,2255.626,441.086,659.755,20.043,Bahia,100,27.6,8.4,10.5,35.7,7,10.4,0.3,Bahia,48.3,25.1,54.2,71.3,74.6,96.4,94.5,58.5
Região Metropolitana de Salvador,2468.34,568.457,179.743,227.777,958.505,198.901,332.943,2.014,Região Metropolitana de Salvador,100,23,7.3,9.2,38.8,8.1,13.5,0.1,Região Metropolitana de Salvador,71,47.2,62.8,81.5,83.3,97.2,95.9,54.5
Sudeste,49246.983,10513.16,4980.461,4368.745,16812.757,3479.595,9010.738,81.527,Sudeste,100,21.3,10.1,8.9,34.1,7.1,18.3,0.2,Sudeste,65.1,37.2,62,82.9,81.3,95.6,94,81.1
Minas Gerais,10332.092,2578.167,1074.737,966.715,3328.059,755.794,1597.96,30.66,Minas Gerais,100,25,10.4,9.4,32.2,7.3,15.5,0.3,Minas Gerais,56.2,29.7,60.9,79.2,79,97.4,94.2,84.9
Região Metropolitana de Belo Horizonte,3175.428,716.795,301.243,282.255,1030.005,257.919,579.78,7.431,Região Metropolitana de Belo Horizonte,100,22.6,9.5,8.9,32.4,8.1,18.3,0.2,Região Metropolitana de Belo Horizonte,68.6,41.6,64.1,86.3,83.4,98.3,96.4,90
Espírito Santo,2004.128,480.957,191.298,176.898,652.428,156.526,338.823,7.198,Espírito Santo,100,24,9.5,8.8,32.6,7.8,16.9,0.4,Espírito Santo,58.5,32.6,56,78.7,78,92.6,91.4,85.7
Rio de Janeiro,9707.466,2104.839,1012.776,856.156,3314.366,673.798,1730.056,15.475,Rio de Janeiro,100,21.7,10.4,8.8,34.1,6.9,17.8,0.2,Rio de Janeiro,66.3,41.9,57,83.4,78.6,94.8,92.7,82.9
Região Metropolitana do Rio de Janeiro,7529.582,1544.426,768.084,658.162,2588.834,532.381,1428.8,8.895,Região Metropolitana do Rio de Janeiro,100,20.5,10.2,8.7,34.4,7.1,19,0.1,Região Metropolitana do Rio de Janeiro,69.9,46.1,58.2,85.2,80.2,95.6,93.2,77.8
São Paulo,27203.297,5349.197,2701.65,2368.976,9517.904,1893.477,5343.899,28.194,São Paulo,100,19.7,9.9,8.7,35,7,19.6,0.1,São Paulo,69.5,40.8,65.1,84.8,83.5,95.5,94.5,75.6
Região Metropolitana de São Paulo,13592.382,2502.106,1301.064,1178.485,4653.757,961.283,2988.159,7.528,Região Metropolitana de São Paulo,100,18.4,9.6,8.7,34.2,7.1,22,0.1,Região Metropolitana de São Paulo,73.1,44.3,67.4,85.6,84.1,96.2,96.2,87.5
Sul,15758.972,3639.686,1730.473,1373.308,4768.842,1308.358,2848,90.305,Sul,100,23.1,11,8.7,30.3,8.3,18.1,0.6,Sul,61.1,34.2,59.9,79.8,80,94.6,93,80.3
Paraná,5897.03,1294.586,596.477,507.193,1858.424,437.446,1162.401,40.503,Paraná,100,22,10.1,8.6,31.5,7.4,19.7,0.7,Paraná,60.5,33,58.7,75.9,78.2,94.2,93.7,71.9
Região Metropolitana de Curitiba,2065.537,400.539,192.089,156.562,666.115,151.281,489.345,9.606,Região Metropolitana de Curitiba,100,19.4,9.3,7.6,32.2,7.3,23.7,0.5,Região Metropolitana de Curitiba,68.2,39.8,58.9,78.6,81.5,97.8,95.1,80
Santa Catarina,3767.691,808.297,428.502,306.678,1205.243,283.771,700.803,34.397,Santa Catarina,100,21.5,11.4,8.1,32,7.5,18.6,0.9,Santa Catarina,62.3,35,57.8,81.2,79,95.7,92.2,87.3
Rio Grande do Sul,6094.251,1536.803,705.494,559.437,1705.175,587.141,984.796,15.405,Rio Grande do Sul,100,25.2,11.6,9.2,28,9.6,16.2,0.3,Rio Grande do Sul,61.1,34.8,62.3,82.8,82.8,94.3,92.9,92.6
Região Metropolitana de Porto Alegre,2610.59,607.185,287.287,225.579,759.438,265.783,457.984,7.334,Região Metropolitana de Porto Alegre,100,23.3,11,8.6,29.1,10.2,17.5,0.3,Região Metropolitana de Porto Alegre,70.1,44.5,66.3,84.6,85.8,94.8,94.3,93.5
Centro-Oeste,8530.74,2068.717,776.593,812.546,2489.94,764.97,1595.158,22.816,Centro-Oeste,100,24.3,9.1,9.5,29.2,9,18.7,0.3,Centro-Oeste,64,38.6,60.4,79.4,79.3,95.6,94,71.6
