"Tabela 1.1.32.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.32.2 - Distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Condição de atividade na semana de referência,,,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,,,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,177656.822,102083.09,75573.732,105519.431,68083.794,37435.637,72137.391,33999.296,38138.095,Brasil,100,57.5,42.5,100,64.5,35.5,100,47.1,52.9
Norte,14536.868,6715.311,7821.557,8287.191,4211.849,4075.342,6249.677,2503.462,3746.215,Norte,100,46.2,53.8,100,50.8,49.2,100,40.1,59.9
Rondônia,1498.147,710.57,787.577,875.145,457.161,417.984,623.002,253.409,369.593,Rondônia,100,47.4,52.6,100,52.2,47.8,100,40.7,59.3
Acre,651.348,285.382,365.966,355.637,169.048,186.589,295.711,116.334,179.377,Acre,100,43.8,56.2,100,47.5,52.5,100,39.3,60.7
Amazonas,3216.277,1596.758,1619.519,1844.734,1010.577,834.157,1371.543,586.181,785.362,Amazonas,100,49.6,50.4,100,54.8,45.2,100,42.7,57.3
Roraima,420.511,268.027,152.484,250.244,172.963,77.281,170.267,95.064,75.203,Roraima,100,63.7,36.3,100,69.1,30.9,100,55.8,44.2
Pará,6837.456,2962.659,3874.797,3892.515,1848.677,2043.838,2944.941,1113.982,1830.959,Pará,100,43.3,56.7,100,47.5,52.5,100,37.8,62.2
Região Metropolitana de Belém,1922.792,1227.217,695.575,1139.907,792.345,347.562,782.885,434.872,348.013,Região Metropolitana de Belém,100,63.8,36.2,100,69.5,30.5,100,55.5,44.5
Amapá,623.225,334.728,288.497,333.15,204.92,128.23,290.075,129.808,160.267,Amapá,100,53.7,46.3,100,61.5,38.5,100,44.7,55.3
Tocantins,1289.904,557.187,732.717,735.766,348.503,387.263,554.138,208.684,345.454,Tocantins,100,43.2,56.8,100,47.4,52.6,100,37.7,62.3
Nordeste,48409.904,21831.084,26578.82,26840.727,13594.028,13246.699,21569.177,8237.056,13332.121,Nordeste,100,45.1,54.9,100,50.6,49.4,100,38.2,61.8
Maranhão,5654.411,1940.697,3713.714,3169.587,1167.272,2002.315,2484.824,773.425,1711.399,Maranhão,100,34.3,65.7,100,36.8,63.2,100,31.1,68.9
Piauí,2737.791,1061,1676.791,1721.821,694.58,1027.241,1015.97,366.42,649.55,Piauí,100,38.8,61.2,100,40.3,59.7,100,36.1,63.9
Ceará,7675.584,3331.027,4344.557,3987.298,2019.491,1967.807,3688.286,1311.536,2376.75,Ceará,100,43.4,56.6,100,50.6,49.4,100,35.6,64.4
