"Tabela 1.1.33.1 - Pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.33.2 - Distribuição das pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Situação de ocupação na semana de referência,,,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Situação de ocupação na semana de referência,,,,,
,,,,Ocupadas,,,Não ocupadas,,,,,,,Ocupadas,,,Não ocupadas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",,,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,177656.822,102083.09,75573.732,95380.483,60488.908,34891.575,82276.339,41594.182,40682.157,Brasil,100,57.5,42.5,100,63.4,36.6,100,50.6,49.4
Norte,14536.868,6715.311,7821.557,7558.802,3703.493,3855.309,6978.066,3011.818,3966.248,Norte,100,46.2,53.8,100,49,51,100,43.2,56.8
Rondônia,1498.147,710.57,787.577,815.975,418.25,397.725,682.172,292.32,389.852,Rondônia,100,47.4,52.6,100,51.3,48.7,100,42.9,57.1
Acre,651.348,285.382,365.966,330.409,150.303,180.106,320.939,135.079,185.86,Acre,100,43.8,56.2,100,45.5,54.5,100,42.1,57.9
Amazonas,3216.277,1596.758,1619.519,1628.938,855.31,773.628,1587.339,741.448,845.891,Amazonas,100,49.6,50.4,100,52.5,47.5,100,46.7,53.3
Roraima,420.511,268.027,152.484,224.411,152.916,71.495,196.1,115.111,80.989,Roraima,100,63.7,36.3,100,68.1,31.9,100,58.7,41.3
Pará,6837.456,2962.659,3874.797,3592.235,1643.747,1948.488,3245.221,1318.912,1926.309,Pará,100,43.3,56.7,100,45.8,54.2,100,40.6,59.4
Região Metropolitana de Belém,1922.792,1227.217,695.575,987.525,677.598,309.927,935.267,549.619,385.648,Região Metropolitana de Belém,100,63.8,36.2,100,68.6,31.4,100,58.8,41.2
Amapá,623.225,334.728,288.497,297.424,175.5,121.924,325.801,159.228,166.573,Amapá,100,53.7,46.3,100,59,41,100,48.9,51.1
Tocantins,1289.904,557.187,732.717,669.41,307.467,361.943,620.494,249.72,370.774,Tocantins,100,43.2,56.8,100,45.9,54.1,100,40.2,59.8
Nordeste,48409.904,21831.084,26578.82,24128.791,11758.919,12369.872,24281.113,10072.165,14208.948,Nordeste,100,45.1,54.9,100,48.7,51.3,100,41.5,58.5
Maranhão,5654.411,1940.697,3713.714,2956.12,1029.721,1926.399,2698.291,910.976,1787.315,Maranhão,100,34.3,65.7,100,34.8,65.2,100,33.8,66.2
Piauí,2737.791,1061,1676.791,1595.742,603.962,991.78,1142.049,457.038,685.011,Piauí,100,38.8,61.2,100,37.8,62.2,100,40,60
Ceará,7675.584,3331.027,4344.557,3653.41,1794.267,1859.143,4022.174,1536.76,2485.414,Ceará,100,43.4,56.6,100,49.1,50.9,100,38.2,61.8
