"Tabela 1.1.34.1 - Pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.34.2 - Distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,177656.822,52271.646,12370.685,9223.096,57148.711,21456.307,12502.189,7357.68,3380.661,Brasil,100,29.4,7,5.2,32.2,12.1,7,4.1,1.9
Norte,14536.868,5042.855,1429.956,1200.206,4424.633,1194,657.855,384.595,125.383,Norte,100,34.7,9.8,8.3,30.4,8.2,4.5,2.6,0.9
Rondônia,1498.147,476.85,96.995,79.158,489.824,175.633,106.194,49.441,17.568,Rondônia,100,31.8,6.5,5.3,32.7,11.7,7.1,3.3,1.2
Acre,651.348,235.454,71.131,49.213,190.612,47.477,28.73,20.143,5.433,Acre,100,36.1,10.9,7.6,29.3,7.3,4.4,3.1,0.8
Amazonas,3216.277,1234.201,295.527,251.9,898.586,259.732,149.081,85.271,30.912,Amazonas,100,38.4,9.2,7.8,27.9,8.1,4.6,2.7,1
Roraima,420.511,131.419,38.648,27.907,129.352,38.641,24.38,20.663,7.229,Roraima,100,31.3,9.2,6.6,30.8,9.2,5.8,4.9,1.7
Pará,6837.456,2346.704,760.016,664.943,2090.822,510.589,241.774,145,40.478,Pará,100,34.3,11.1,9.7,30.6,7.5,3.5,2.1,0.6
Região Metropolitana de Belém,1922.792,620.036,145.298,147.108,664.011,148.34,86.685,71.836,26.051,Região Metropolitana de Belém,100,32.2,7.6,7.7,34.5,7.7,4.5,3.7,1.4
Amapá,623.225,225.685,48.087,47.558,178.407,51.496,43.618,21.018,5.78,Amapá,100,36.2,7.7,7.6,28.6,8.3,7,3.4,0.9
Tocantins,1289.904,392.542,119.552,79.527,447.03,110.432,64.078,43.059,17.983,Tocantins,100,30.4,9.3,6.2,34.7,8.6,5,3.3,1.4
Nordeste,48409.904,15206.225,6807.58,3914.037,15939.489,3272.864,1631.124,966.905,399.194,Nordeste,100,31.4,14.1,8.1,32.9,6.8,3.4,2,0.8
Maranhão,5654.411,1914.379,998.879,477.284,1603.18,343.486,134.548,87.939,45.106,Maranhão,100,33.9,17.7,8.4,28.4,6.1,2.4,1.6,0.8
Piauí,2737.791,824.594,455.352,248.797,856.691,184.064,86.677,59.665,16.884,Piauí,100,30.1,16.6,9.1,31.3,6.7,3.2,2.2,0.6
Ceará,7675.584,2438.733,1026.955,606.252,2639.349,497.488,229.997,121.29,47.117,Ceará,100,31.8,13.4,7.9,34.4,6.5,3,1.6,0.6
Região Metropolitana de Fortaleza,3344.522,1034.629,271.758,216.19,1245.517,274.581,148.618,83.163,35.388,Região Metropolitana de Fortaleza,100,30.9,8.1,6.5,37.2,8.2,4.4,2.5,1.1
Rio Grande do Norte,2975.62,928.998,366.664,200.623,986.195,228.208,141.29,81.959,31.083,Rio Grande do Norte,100,31.2,12.3,6.7,33.1,7.7,4.7,2.8,1
