"Tabela 1.1.35.1 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.35.2 - Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.1.35.3 - Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade (%)",,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,102083.09,34129.448,4464.72,4027.274,26095.961,13254.943,9472.494,6282.758,3103.82,Brasil,100,33.4,4.4,3.9,25.6,13,9.3,6.2,3,Brasil,57.5,65.3,36.1,43.7,45.7,61.8,75.8,85.4,91.8
Norte,6715.311,2606.836,452.032,404.869,1720.091,628.503,460.595,303.112,106.571,Norte,100,38.8,6.7,6,25.6,9.4,6.9,4.5,1.6,Norte,46.2,51.7,31.6,33.7,38.9,52.6,70,78.8,85
Rondônia,710.57,261.525,29.447,30.529,179.922,84.584,69.712,36.202,14.866,Rondônia,100,36.8,4.1,4.3,25.3,11.9,9.8,5.1,2.1,Rondônia,47.4,54.8,30.4,38.6,36.7,48.2,65.6,73.2,84.6
Acre,285.382,110.547,21.549,14.716,71.484,25.576,20.842,15.412,4.73,Acre,100,38.7,7.6,5.2,25,9,7.3,5.4,1.7,Acre,43.8,47,30.3,29.9,37.5,53.9,72.5,76.5,87.1
Amazonas,1596.758,644.145,94.378,79.403,410.4,156.879,109.686,71.603,26.683,Amazonas,100,40.3,5.9,5,25.7,9.8,6.9,4.5,1.7,Amazonas,49.6,52.2,31.9,31.5,45.7,60.4,73.6,84,86.3
Roraima,268.027,91.551,18.186,12.819,70.878,29.135,19.837,18.389,6.198,Roraima,100,34.2,6.8,4.8,26.4,10.9,7.4,6.9,2.3,Roraima,63.7,69.7,47.1,45.9,54.8,75.4,81.4,89,85.7
