"Tabela 1.1.36.1 - Pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.36.2 - Distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,
,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,,,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,
,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5,,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5
Brasil,177656.822,12582.424,24916.539,48029.576,53652.515,16291.537,9909.263,7555.576,Brasil,100,7.1,14,27.1,30.3,9.2,5.6,4.3
Norte,14536.868,1692.16,3357.951,4470.655,3238.643,813.302,445.16,268.295,Norte,100,11.7,23.1,30.8,22.3,5.6,3.1,1.8
Rondônia,1498.147,98.612,252.352,422.027,472.535,138.876,65.378,34.588,Rondônia,100,6.6,16.9,28.2,31.6,9.3,4.4,2.3
Acre,651.348,100.906,155.218,183.253,130.511,34.511,23.473,13.311,Acre,100,15.5,23.9,28.2,20.1,5.3,3.6,2.1
Amazonas,3216.277,478.742,761.622,932.792,648.971,186.492,91.472,67.37,Amazonas,100,14.9,23.8,29.1,20.2,5.8,2.9,2.1
Roraima,420.511,33.478,84.51,131.228,90.302,35.336,22.519,16.734,Roraima,100,8,20.1,31.3,21.5,8.4,5.4,4
Pará,6837.456,816.783,1712.855,2236.462,1404.397,293.551,163.293,84.083,Pará,100,12,25.1,32.8,20.6,4.3,2.4,1.2
Região Metropolitana de Belém,1922.792,98.477,400.462,668.489,457.854,115.782,84.452,56.773,Região Metropolitana de Belém,100,5.1,20.8,34.8,23.8,6,4.4,3
Amapá,623.225,63.855,143.449,185.76,135.583,46.767,28.11,14.973,Amapá,100,10.3,23,29.8,21.8,7.5,4.5,2.4
Tocantins,1289.904,99.784,247.945,379.133,356.344,77.769,50.915,37.236,Tocantins,100,7.7,19.3,29.4,27.7,6,4,2.9
Nordeste,48409.904,7310.823,10991.709,14790.853,10200.862,2046.212,1321.867,877.336,Nordeste,100,15.1,22.7,30.6,21.1,4.2,2.7,1.8
Maranhão,5654.411,1212.353,1380.721,1610.705,925.986,148.071,111.989,90.955,Maranhão,100,21.5,24.5,28.5,16.4,2.6,2,1.6
Piauí,2737.791,445.232,642.8,824.592,594.956,103.006,60.79,43.899,Piauí,100,16.3,23.5,30.1,21.8,3.8,2.2,1.6
Ceará,7675.584,1215.258,1681.649,2346.183,1665.035,293.873,171.994,102.777,Ceará,100,15.9,21.9,30.6,21.7,3.8,2.2,1.3
Região Metropolitana de Fortaleza,3344.522,234.229,670.551,1110.003,835.772,197.088,110.403,77.85,Região Metropolitana de Fortaleza,100,7,20.1,33.3,25,5.9,3.3,2.3
Rio Grande do Norte,2975.62,355.35,623.109,924.033,685.26,159.668,121.519,72.064,Rio Grande do Norte,100,12,21,31.1,23.1,5.4,4.1,2.4
Paraíba,3411.321,444.111,737.591,1060.199,746.013,170.014,113.755,93.735,Paraíba,100,13,21.6,31.1,21.9,5,3.3,2.8
