"Tabela 1.2.3 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por microcomputador, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses",,,,,
,Valores absolutos (1000 pessoas),,,Valores relativos (%),,
,Total,Microcomputador,,Total,Microcomputador,
,,Total,Somente microcomputador,,Total,Somente microcomputador
Brasil,102083.09,72607.984,11079.97,100,71.1,10.9
Norte,6715.311,3521.63,517.152,100,52.4,7.7
Rondônia,710.57,490.902,103.2,100,69.1,14.5
Acre,285.382,151.535,21.022,100,53.1,7.4
Amazonas,1596.758,814.99,86.585,100,51,5.4
Roraima,268.027,141.754,14.254,100,52.9,5.3
Pará,2962.659,1357.966,219.984,100,45.8,7.4
Região Metropolitana de Belém,1227.217,588.662,65.922,100,48,5.4
Amapá,334.728,188.112,12.083,100,56.2,3.6
Tocantins,557.187,376.371,60.024,100,67.5,10.8
Nordeste,21831.084,13576.777,2240.19,100,62.2,10.3
Maranhão,1940.697,937.273,137.554,100,48.3,7.1
Piauí,1061,585.949,100.19,100,55.2,9.4
Ceará,3331.027,2094.04,405.07,100,62.9,12.2
Região Metropolitana de Fortaleza,1950.387,1240.573,174.103,100,63.6,8.9
Rio Grande do Norte,1570.481,1015.206,180.857,100,64.6,11.5
Paraíba,1738.3,1083.44,168.722,100,62.3,9.7
Pernambuco,3710.885,2482.385,380.048,100,66.9,10.2
Região Metropolitana de Recife,2080,1419.243,146.186,100,68.2,7
Alagoas,1175.405,757.601,128.364,100,64.5,10.9
Sergipe,982.846,553.192,35.196,100,56.3,3.6
Bahia,6320.443,4067.691,704.189,100,64.4,11.1
Região Metropolitana de Salvador,2468.34,1711.747,176.716,100,69.3,7.2
Sudeste,49246.983,37287.623,5381.824,100,75.7,10.9
Minas Gerais,10332.092,7535.478,1446.879,100,72.9,14
Região Metropolitana de Belo Horizonte,3175.428,2362.485,327.249,100,74.4,10.3
Espírito Santo,2004.128,1473.412,207.477,100,73.5,10.4
Rio de Janeiro,9707.466,7340.081,903.141,100,75.6,9.3
Região Metropolitana do Rio de Janeiro,7529.582,5746.303,631.485,100,76.3,8.4
São Paulo,27203.297,20938.652,2824.327,100,77,10.4
Região Metropolitana de São Paulo,13592.382,10655.837,1285.981,100,78.4,9.5
Sul,15758.972,12259.275,2286.373,100,77.8,14.5
Paraná,5897.03,4627.314,831.588,100,78.5,14.1
Região Metropolitana de Curitiba,2065.537,1688.55,215.618,100,81.7,10.4
Santa Catarina,3767.691,3088.372,549.585,100,82,14.6
Rio Grande do Sul,6094.251,4543.589,905.2,100,74.6,14.9
Região Metropolitana de Porto Alegre,2610.59,1916.91,284.497,100,73.4,10.9
Centro-Oeste,8530.74,5962.679,654.431,100,69.9,7.7
Mato Grosso do Sul,1455.931,953.096,113.114,100,65.5,7.8
Mato Grosso,1526.026,1023.335,110.785,100,67.1,7.3
Goiás,3541.957,2319.865,293.891,100,65.5,8.3
Distrito Federal,2006.826,1666.383,136.641,100,83,6.8
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
