"Tabela 1.2.6 - Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses, total e por telefone móvel celular ou tablet, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses",,,,,
,Valores absolutos (1000 pessoas),,,Valores relativos (%),,
,Total,Telefone móvel celular ou tablet,,Total,Telefone móvel celular ou tablet,
,,Total,Somente por telefone móvel celular ou tablet,,Total,Somente por telefone móvel celular ou tablet
Brasil,102083.09,90484.87,28765.132,100,88.6,28.2
Norte,6715.311,6157.441,3143.926,100,91.7,46.8
Rondônia,710.57,604.669,216.427,100,85.1,30.5
Acre,285.382,262.255,131.742,100,91.9,46.2
Amazonas,1596.758,1502.359,768.417,100,94.1,48.1
Roraima,268.027,252.947,125.241,100,94.4,46.7
Pará,2962.659,2720.272,1580.052,100,91.8,53.3
Região Metropolitana de Belém,1227.217,1147.655,622.677,100,93.5,50.7
Amapá,334.728,321.069,144.777,100,95.9,43.3
Tocantins,557.187,493.87,177.27,100,88.6,31.8
Nordeste,21831.084,19498.521,8118.023,100,89.3,37.2
Maranhão,1940.697,1782.095,982.376,100,91.8,50.6
Piauí,1061,958.558,470.547,100,90.3,44.3
Ceará,3331.027,2916.352,1216.991,100,87.6,36.5
Região Metropolitana de Fortaleza,1950.387,1768.146,694.953,100,90.7,35.6
Rio Grande do Norte,1570.481,1384.681,549.625,100,88.2,35
Paraíba,1738.3,1564.405,650.334,100,90,37.4
Pernambuco,3710.885,3313.607,1198.553,100,89.3,32.3
Região Metropolitana de Recife,2080,1918.123,635.428,100,92.2,30.5
Alagoas,1175.405,1045.153,412.769,100,88.9,35.1
Sergipe,982.846,943.617,425.622,100,96,43.3
Bahia,6320.443,5590.053,2211.206,100,88.4,35
Região Metropolitana de Salvador,2468.34,2279.529,735.426,100,92.4,29.8
Sudeste,49246.983,43615.666,11609.297,100,88.6,23.6
Minas Gerais,10332.092,8838.199,2735.466,100,85.5,26.5
Região Metropolitana de Belo Horizonte,3175.428,2832.91,788.185,100,89.2,24.8
Espírito Santo,2004.128,1785.256,515.124,100,89.1,25.7
Rio de Janeiro,9707.466,8759.031,2291.552,100,90.2,23.6
Região Metropolitana do Rio de Janeiro,7529.582,6858.066,1714.024,100,91.1,22.8
São Paulo,27203.297,24233.18,6067.155,100,89.1,22.3
Região Metropolitana de São Paulo,13592.382,12221.457,2818.269,100,89.9,20.7
Sul,15758.972,13379.47,3389.642,100,84.9,21.5
Paraná,5897.03,5033.955,1227.767,100,85.4,20.8
Região Metropolitana de Curitiba,2065.537,1834.55,362.577,100,88.8,17.6
Santa Catarina,3767.691,3200.907,660.688,100,85,17.5
Rio Grande do Sul,6094.251,5144.608,1501.187,100,84.4,24.6
Região Metropolitana de Porto Alegre,2610.59,2298.528,661.816,100,88,25.4
Centro-Oeste,8530.74,7833.772,2504.244,100,91.8,29.4
Mato Grosso do Sul,1455.931,1336.632,493.998,100,91.8,33.9
Mato Grosso,1526.026,1405.608,489.555,100,92.1,32.1
Goiás,3541.957,3230.433,1192.253,100,91.2,33.7
Distrito Federal,2006.826,1861.099,328.438,100,92.7,16.4
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
