"Tabela 1.3.10.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.10.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Possuíam,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658,Possuíam,78.3,68.6,69.6,82.6,82.8,86.9
Não possuíam,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983,Não possuíam,21.7,31.4,30.4,17.4,17.2,13.1
Ocupadas,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227,Ocupadas,100,100,100,100,100,100
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138,Possuíam,87.2,76.5,78.5,91.7,91.1,93.9
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089,Não possuíam,12.8,23.5,21.5,8.3,8.9,6.1
Não ocupadas,82276.339,6978.066,24281.113,34543.028,10776.718,5697.414,Não ocupadas,100,100,100,100,100,100
Possuíam,55856.289,4190.615,14745.539,24808.677,7696.938,4414.52,Possuíam,67.9,60.1,60.7,71.8,71.4,77.5
Não possuíam,26420.05,2787.451,9535.574,9734.351,3079.78,1282.894,Não possuíam,32.1,39.9,39.3,28.2,28.6,22.5
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Possuíam,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194,Possuíam,77.6,66.5,67.3,82.9,83.5,86.7
Não possuíam,19107.137,2441.485,7585.25,6152.373,2065.966,862.063,Não possuíam,22.4,33.5,32.7,17.1,16.5,13.3
Ocupados,54704.323,4691.909,14127.747,23051.396,8441.632,4391.639,Ocupados,100,100,100,100,100,100
Possuíam,46650.551,3437.59,10583.509,20901.675,7639.368,4088.409,Possuíam,85.3,73.3,74.9,90.7,90.5,93.1
Não possuíam,8053.772,1254.319,3544.238,2149.721,802.264,303.23,Não possuíam,14.7,26.7,25.1,9.3,9.5,6.9
Não ocupados,30785.076,2588.68,9053.885,12986.606,4060.287,2095.618,Não ocupados,100,100,100,100,100,100
Possuíam,19731.711,1401.514,5012.873,8983.954,2796.585,1536.785,Possuíam,64.1,54.1,55.4,69.2,68.9,73.3
Não possuíam,11053.365,1187.166,4041.012,4002.652,1263.702,558.833,Não possuíam,35.9,45.9,44.6,30.8,31.1,26.7
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Possuíam,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464,Possuíam,78.9,70.7,71.7,82.3,82.3,87
Não possuíam,19493.062,2124.074,7134.45,6991.237,2355.381,887.92,Não possuíam,21.1,29.3,28.3,17.7,17.7,13
Ocupadas,40676.16,2866.893,10001.044,18004.185,6553.45,3250.588,Ocupadas,100,100,100,100,100,100
Possuíam,36549.783,2343.104,8361.156,16744.647,6014.147,3086.729,Possuíam,89.9,81.7,83.6,93,91.8,95
Não possuíam,4126.377,523.789,1639.888,1259.538,539.303,163.859,Não possuíam,10.1,18.3,16.4,7,8.2,5
Não ocupadas,51491.263,4389.386,15227.228,21556.422,6716.431,3601.796,Não ocupadas,100,100,100,100,100,100
Possuíam,36124.578,2789.101,9732.666,15824.723,4900.353,2877.735,Possuíam,70.2,63.5,63.9,73.4,73,79.9
Não possuíam,15366.685,1600.285,5494.562,5731.699,1816.078,724.061,Não possuíam,29.8,36.5,36.1,26.6,27,20.1
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
