"Tabela 1.3.13.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grupamentos ocupacionais no trabalho principal,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),87.2,76.5,78.5,91.7,91.1,93.9
Dirigentes em geral,97.2,95.4,95.7,97.5,97.9,98.4
Profissionais das ciências e das artes,97.5,93.8,95.9,98.1,98.2,98.9
Técnicos de nível médio,96.9,92.5,94.8,97.8,97.4,98.7
Trabalhadores de serviços administrativos,97.3,96.6,97.4,97.1,97.4,98.4
Trabalhadores dos serviços,89.3,83.8,86.3,90.2,91.5,93.7
Vendedores e prestadores de serviço do comércio,91.8,84.3,88.2,94,95.5,95.9
Trabalhadores agrícolas,55.5,43,45.6,66.1,69.6,77.9
Trabalhadores da produção de bens e serviços e de reparação e manutenção,88.6,79.6,83.3,90.8,91.4,93.7
Membros das forças armadas e auxiliares,98.6,97.7,98.6,98.7,98.2,99.7
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas com ocupação maldefinida.,,,,,,
