"Tabela 1.3.14.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência, por Grandes Regiões, segundo os grupamentos de atividade do trabalho principal  -  2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Grupamentos de atividade do trabalho principal,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),87.2,76.5,78.5,91.7,91.1,93.9
Agrícola,56,43,45.7,66.7,69.8,79.2
Indústria,91.4,77.6,86.5,93.8,92.7,94.8
Indústria de transformação,91.2,77.2,85.9,93.6,92.6,94.7
Construção,85.1,79.9,78.4,87.3,89.5,92.1
Comércio e reparação,92.7,86.6,89.3,94.3,95.1,96.2
Alojamento e alimentação,90.8,84.1,87.8,92.4,92.6,94.6
"Transporte, armazenagem e comunicação",94.5,88.8,91.2,95.6,96.5,97.9
Administração pública,95.4,93.5,93,96.1,96.2,98.1
"Educação, saúde e serviços sociais",95.9,91.3,93.5,97,97.2,98.1
Serviços domésticos,86.3,79.7,83.5,86.9,90,90.6
"Outros serviços coletivos, sociais e pessoais",95.1,92.1,93.3,95.4,96.2,97.7
Outras atividades,97.2,96.5,97.5,96.8,97.5,98.6
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas com atividade maldefinida.,,,,,,
