"Tabela 1.3.17.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo as classes de rendimento mensal domiciliar per capita  -  2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Classes de rendimento mensal domiciliar per capita,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),78.3,68.6,69.6,82.6,82.8,86.9
Sem rendimento a 1/4 do salário mínimo (2),53.9,42,49.8,68.8,63.7,71.4
Mais de 1/4 a 1/2 salário mínimo,67.8,59.8,65.3,73.1,69.9,76.3
Mais de 1/2 a 1 salário mínimo,77.2,71,73,79.7,79.9,84.4
Mais de 1 a 2 salário mínimos,81.2,78,75.1,82.6,82.1,87.6
Mais de 2 a 3 salário mínimos,88.7,88.3,87.3,88.5,88.5,92.7
Mais de 3 a 5 salários mínimos,93.1,91.8,94.8,92.4,92.9,95.3
Mais de 5 a 10 salários mínimos,95.4,95.1,95.9,95.2,94.8,97.4
Mais de 10 salários mínimos,96.4,96.6,95.8,96.5,95.6,97.5
,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,
