"Tabela 1.3.4.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.4.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.3.4.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,Sexo e grupos de anos de estudo,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658,Total,100,100,100,100,100,100,Total,78.3,68.6,69.6,82.6,82.8,86.9
Sem instrução e menos de 1 ano,6099.672,496.351,2425.092,1885.587,729.403,563.239,Sem instrução e menos de 1 ano,4.4,5,7.2,3,3.4,4.9,Sem instrução e menos de 1 ano,40.5,36.8,35.1,43.3,48.9,58.1
1 a 3 anos,9227.951,756.017,2999.867,3395.203,1298.642,778.222,1 a 3 anos,6.6,7.6,8.9,5.4,6.1,6.7,1 a 3 anos,51.2,39.9,45.8,56,56.5,65.1
4 a 7 anos,31115.862,2200.337,8049.315,13126.187,5137.833,2602.19,4 a 7 anos,22.4,22.1,23.9,21,24.1,22.5,4 a 7 anos,70.8,58.3,65.4,73.6,75.1,81.6
8 a 10 anos,26389.904,2062.413,6169.278,11801.195,4205.231,2151.787,8 a 10 anos,19,20.7,18.3,18.9,19.7,18.6,8 a 10 anos,86.2,78,81.8,88.1,89.7,92.2
11 a 14 anos,48893.007,3497.204,11121.593,23405.654,7033.859,3834.697,11 a 14 anos,35.2,35.1,33,37.5,32.9,33.1,11 a 14 anos,93.8,90.5,92.3,94.4,94.8,96.7
15 anos ou mais,17167.68,941.559,2873.186,8804.64,2901.967,1646.328,15 anos ou mais,12.3,9.4,8.5,14.1,13.6,14.2,15 anos ou mais,97,96.1,96.7,96.9,97.3,98.6
