"Tabela 1.3.5.1 - Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.5.2 - Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983,Total,100,100,100,100,100,100
Sem instrução e menos de 1 ano,8973.007,852.939,4481.764,2471.495,761.027,405.782,Sem instrução e menos de 1 ano,23.2,18.7,30.4,18.8,17.2,23.2
1 a 3 anos,8780.824,1140.634,3555.965,2667.486,999.912,416.827,1 a 3 anos,22.7,25,24.2,20.3,22.6,23.8
4 a 7 anos,12828.789,1571.55,4255.509,4713.086,1702.456,586.188,4 a 7 anos,33.2,34.4,28.9,35.9,38.5,33.5
8 a 10 anos,4218.083,580.931,1373.334,1598.965,482.384,182.469,8 a 10 anos,10.9,12.7,9.3,12.2,10.9,10.4
11 a 14 anos,3219.563,366.711,930.12,1401.189,388.948,132.595,11 a 14 anos,8.3,8,6.3,10.7,8.8,7.6
15 anos ou mais,527.129,37.946,97.378,285.887,81.767,24.151,15 anos ou mais,1.4,0.8,0.7,2.2,1.8,1.4
Não determinados,52.804,14.848,25.63,5.502,4.853,1.971,Não determinados,0.1,0.3,0.2,0,0.1,0.1
Homens,19107.137,2441.485,7585.25,6152.373,2065.966,862.063,Homens,100,100,100,100,100,100
Sem instrução e menos de 1 ano,4390.638,465.544,2395.962,1027.049,311.534,190.549,Sem instrução e menos de 1 ano,23,19.1,31.6,16.7,15.1,22.1
1 a 3 anos,4591.031,656.908,1909.665,1329.274,475.251,219.933,1 a 3 anos,24,26.9,25.2,21.6,23,25.5
4 a 7 anos,6411.258,827.797,2207.058,2260.213,817.887,298.303,4 a 7 anos,33.6,33.9,29.1,36.7,39.6,34.6
8 a 10 anos,2060.226,298.194,659.972,762.856,248.522,90.682,8 a 10 anos,10.8,12.2,8.7,12.4,12,10.5
11 a 14 anos,1416.869,170.365,364.498,647.817,179.888,54.301,11 a 14 anos,7.4,7,4.8,10.5,8.7,6.3
15 anos ou mais,213.461,15.569,34.455,124.089,31.495,7.853,15 anos ou mais,1.1,0.6,0.5,2,1.5,0.9
Não determinados,23.654,7.108,13.64,1.075,1.389,0.442,Não determinados,0.1,0.3,0.2,0,0.1,0.1
Mulheres,19493.062,2124.074,7134.45,6991.237,2355.381,887.92,Mulheres,100,100,100,100,100,100
Sem instrução e menos de 1 ano,4582.369,387.395,2085.802,1444.446,449.493,215.233,Sem instrução e menos de 1 ano,23.5,18.2,29.2,20.7,19.1,24.2
1 a 3 anos,4189.793,483.726,1646.3,1338.212,524.661,196.894,1 a 3 anos,21.5,22.8,23.1,19.1,22.3,22.2
4 a 7 anos,6417.531,743.753,2048.451,2452.873,884.569,287.885,4 a 7 anos,32.9,35,28.7,35.1,37.6,32.4
8 a 10 anos,2157.857,282.737,713.362,836.109,233.862,91.787,8 a 10 anos,11.1,13.3,10,12,9.9,10.3
11 a 14 anos,1802.694,196.346,565.622,753.372,209.06,78.294,11 a 14 anos,9.2,9.2,7.9,10.8,8.9,8.8
15 anos ou mais,313.668,22.377,62.923,161.798,50.272,16.298,15 anos ou mais,1.6,1.1,0.9,2.3,2.1,1.8
Não determinados,29.15,7.74,11.99,4.427,3.464,1.529,Não determinados,0.1,0.4,0.2,0.1,0.1,0.2
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
