"Tabela 1.3.7.1 - Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os nível de instrução - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.7.2 - Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Sexo e nível de instrução,Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,Sexo e nível de instrução,Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983,Total,100,100,100,100,100,100
Sem instrução,8973.007,852.939,4481.764,2471.495,761.027,405.782,Sem instrução,23.2,18.7,30.4,18.8,17.2,23.2
Fundamental incompleto,21638.336,2715.687,7819.787,7392.664,2705.516,1004.682,Fundamental incompleto,56.1,59.5,53.1,56.2,61.2,57.4
Fundamental completo,2763.993,324.165,815.596,1145.635,363.229,115.368,Fundamental completo,7.2,7.1,5.5,8.7,8.2,6.6
Médio incompleto,1412.097,248.097,547.372,439.49,112.481,64.657,Médio incompleto,3.7,5.4,3.7,3.3,2.5,3.7
Médio completo,3020.189,346.52,881.56,1310.37,357.897,123.842,Médio completo,7.8,7.6,6,10,8.1,7.1
Superior incompleto,197.425,22.212,53.582,78.792,32.063,10.776,Superior incompleto,0.5,0.5,0.4,0.6,0.7,0.6
Superior completo,529.078,35.925,92.356,297.914,80.755,22.128,Superior completo,1.4,0.8,0.6,2.3,1.8,1.3
Não determinado,66.074,20.014,27.683,7.25,8.379,2.748,Não determinado,0.2,0.4,0.2,0.1,0.2,0.2
Homens,19107.137,2441.485,7585.25,6152.373,2065.966,862.063,Homens,100,100,100,100,100,100
Sem instrução,4390.638,465.544,2395.962,1027.049,311.534,190.549,Sem instrução,23,19.1,31.6,16.7,15.1,22.1
Fundamental incompleto,11017.01,1486.33,4121.384,3596.402,1293.895,518.999,Fundamental incompleto,57.7,60.9,54.3,58.5,62.6,60.2
Fundamental completo,1323.959,172.055,386.655,520.18,188.48,56.589,Fundamental completo,6.9,7,5.1,8.5,9.1,6.6
Médio incompleto,716.545,122.994,268.105,235.161,56.955,33.33,Médio incompleto,3.8,5,3.5,3.8,2.8,3.9
Médio completo,1336.409,161.443,351.197,607.659,164.559,51.551,Médio completo,7,6.6,4.6,9.9,8,6
Superior incompleto,87.482,9.848,18.25,39.912,16.401,3.071,Superior incompleto,0.5,0.4,0.2,0.6,0.8,0.4
Superior completo,206.439,14.643,29.506,124.335,30.423,7.532,Superior completo,1.1,0.6,0.4,2,1.5,0.9
Não determinado,28.655,8.628,14.191,1.675,3.719,0.442,Não determinado,0.1,0.4,0.2,0,0.2,0.1
Mulheres,19493.062,2124.074,7134.45,6991.237,2355.381,887.92,Mulheres,100,100,100,100,100,100
Sem instrução,4582.369,387.395,2085.802,1444.446,449.493,215.233,Sem instrução,23.5,18.2,29.2,20.7,19.1,24.2
Fundamental incompleto,10621.326,1229.357,3698.403,3796.262,1411.621,485.683,Fundamental incompleto,54.5,57.9,51.8,54.3,59.9,54.7
Fundamental completo,1440.034,152.11,428.941,625.455,174.749,58.779,Fundamental completo,7.4,7.2,6,8.9,7.4,6.6
Médio incompleto,695.552,125.103,279.267,204.329,55.526,31.327,Médio incompleto,3.6,5.9,3.9,2.9,2.4,3.5
Médio completo,1683.78,185.077,530.363,702.711,193.338,72.291,Médio completo,8.6,8.7,7.4,10.1,8.2,8.1
Superior incompleto,109.943,12.364,35.332,38.88,15.662,7.705,Superior incompleto,0.6,0.6,0.5,0.6,0.7,0.9
Superior completo,322.639,21.282,62.85,173.579,50.332,14.596,Superior completo,1.7,1,0.9,2.5,2.1,1.6
Não determinado,37.419,11.386,13.492,5.575,4.66,2.306,Não determinado,0.2,0.5,0.2,0.1,0.2,0.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
