"Tabela 1.3.8.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.8.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,"Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total,100,100,100,100,100,100
Possuíam,139056.623,9971.309,33690.204,62454.999,21350.453,11589.658,Possuíam,78.3,68.6,69.6,82.6,82.8,86.9
Não possuíam,38600.199,4565.559,14719.7,13143.61,4421.347,1749.983,Não possuíam,21.7,31.4,30.4,17.4,17.2,13.1
Estudantes,36307.519,3757.805,10811.956,14038.053,4781.209,2918.496,Estudantes,100,100,100,100,100,100
Possuíam,26857.565,2232.544,7022.467,11331.26,3870.866,2400.428,Possuíam,74,59.4,65,80.7,81,82.2
Não possuíam,9449.954,1525.261,3789.489,2706.793,910.343,518.068,Não possuíam,26,40.6,35,19.3,19,17.8
Rede pública,27030.814,3137.028,8532.966,9910.077,3408.935,2041.808,Rede pública,100,100,100,100,100,100
Possuíam,18164.257,1662.448,4970.868,7424.171,2547.257,1559.513,Possuíam,67.2,53,58.3,74.9,74.7,76.4
Não possuíam,8866.557,1474.58,3562.098,2485.906,861.678,482.295,Não possuíam,32.8,47,41.7,25.1,25.3,23.6
Rede privada,9276.705,620.777,2278.99,4127.976,1372.274,876.688,Rede privada,100,100,100,100,100,100
Possuíam,8693.308,570.096,2051.599,3907.089,1323.609,840.915,Possuíam,93.7,91.8,90,94.6,96.5,95.9
Não possuíam,583.397,50.681,227.391,220.887,48.665,35.773,Não possuíam,6.3,8.2,10,5.4,3.5,4.1
Não estudantes,141349.303,10779.063,37597.948,61560.556,20990.591,10421.145,Não estudantes,100,100,100,100,100,100
Possuíam,112199.058,7738.765,26667.737,51123.739,17479.587,9189.23,Possuíam,79.4,71.8,70.9,83,83.3,88.2
Não possuíam,29150.245,3040.298,10930.211,10436.817,3511.004,1231.915,Não possuíam,20.6,28.2,29.1,17,16.7,11.8
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257,Homens,100,100,100,100,100,100
Possuíam,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194,Possuíam,77.6,66.5,67.3,82.9,83.5,86.7
Não possuíam,19107.137,2441.485,7585.25,6152.373,2065.966,862.063,Não possuíam,22.4,33.5,32.7,17.1,16.5,13.3
Estudantes,17814.158,1863.472,5329.67,6838.182,2364.559,1418.275,Estudantes,100,100,100,100,100,100
Possuíam,12595.021,1039.985,3243.984,5331.159,1845.512,1134.381,Possuíam,70.7,55.8,60.9,78,78,80
Não possuíam,5219.137,823.487,2085.686,1507.023,519.047,283.894,Não possuíam,29.3,44.2,39.1,22,22,20
Rede pública,13650.812,1598.814,4328.079,4949.111,1733.153,1041.655,Rede pública,100,100,100,100,100,100
Possuíam,8756.062,798.14,2367.592,3569.081,1243.593,777.656,Possuíam,64.1,49.9,54.7,72.1,71.8,74.7
Não possuíam,4894.75,800.674,1960.487,1380.03,489.56,263.999,Não possuíam,35.9,50.1,45.3,27.9,28.2,25.3
Rede privada,4163.346,264.658,1001.591,1889.071,631.406,376.62,Rede privada,100,100,100,100,100,100
Possuíam,3838.959,241.845,876.392,1762.078,601.919,356.725,Possuíam,92.2,91.4,87.5,93.3,95.3,94.7
Não possuíam,324.387,22.813,125.199,126.993,29.487,19.895,Não possuíam,7.8,8.6,12.5,6.7,4.7,5.3
Não estudantes,67675.241,5417.117,17851.962,29199.82,10137.36,5068.982,Não estudantes,100,100,100,100,100,100
Possuíam,53787.241,3799.119,12352.398,24554.47,8590.441,4490.813,Possuíam,79.5,70.1,69.2,84.1,84.7,88.6
Não possuíam,13888,1617.998,5499.564,4645.35,1546.919,578.169,Não possuíam,20.5,29.9,30.8,15.9,15.3,11.4
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384,Mulheres,100,100,100,100,100,100
Possuíam,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464,Possuíam,78.9,70.7,71.7,82.3,82.3,87
Não possuíam,19493.062,2124.074,7134.45,6991.237,2355.381,887.92,Não possuíam,21.1,29.3,28.3,17.7,17.7,13
Estudantes,18493.361,1894.333,5482.286,7199.871,2416.65,1500.221,Estudantes,100,100,100,100,100,100
Possuíam,14262.544,1192.559,3778.483,6000.101,2025.354,1266.047,Possuíam,77.1,63,68.9,83.3,83.8,84.4
Não possuíam,4230.817,701.774,1703.803,1199.77,391.296,234.174,Não possuíam,22.9,37,31.1,16.7,16.2,15.6
Rede pública,13380.002,1538.214,4204.887,4960.966,1675.782,1000.153,Rede pública,100,100,100,100,100,100
Possuíam,9408.195,864.308,2603.276,3855.09,1303.664,781.857,Possuíam,70.3,56.2,61.9,77.7,77.8,78.2
