"Tabela 1.3.14.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.14.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal,"Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,,Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal,"Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227,Total,100,100,100,100,100,100
Agrícola,13464.212,1695.359,5771.872,3098.208,1992.787,905.986,Agrícola,14.1,22.4,23.9,7.5,13.3,11.9
Indústria,11962.648,708.874,2079.79,5737.504,2674.8,761.68,Indústria,12.5,9.4,8.6,14,17.8,10
Indústria de transformação,11247.982,629.7,1933.697,5395.866,2580.562,708.157,Indústria de transformação,11.8,8.3,8,13.1,17.2,9.3
Construção,8547.951,699.663,2206.4,3682.849,1254.647,704.392,Construção,9,9.3,9.1,9,8.4,9.2
Comércio e reparação,17328.874,1399.716,4371.274,7392.666,2737.099,1428.119,Comércio e reparação,18.2,18.5,18.1,18,18.3,18.7
Alojamento e alimentação,4691.124,368.854,1177.883,2181.189,562.683,400.515,Alojamento e alimentação,4.9,4.9,4.9,5.3,3.8,5.2
"Transporte, armazenagem e comunicação",5319.847,374.784,1074.038,2612.308,840.719,417.998,"Transporte, armazenagem e comunicação",5.6,5,4.5,6.4,5.6,5.5
Administração pública,5010.426,496.382,1233.15,1996.725,691.888,592.281,Administração pública,5.3,6.6,5.1,4.9,4.6,7.8
"Educação, saúde e serviços sociais",10336.763,780.578,2444.36,4736.393,1529.593,845.839,"Educação, saúde e serviços sociais",10.8,10.3,10.1,11.5,10.2,11.1
Serviços domésticos,6308.667,436.324,1513.211,2937.783,859.545,561.804,Serviços domésticos,6.6,5.8,6.3,7.2,5.7,7.4
"Outros serviços coletivos, sociais e pessoais",4076.636,246.962,864.372,2048.028,584.26,333.014,"Outros serviços coletivos, sociais e pessoais",4.3,3.3,3.6,5,3.9,4.4
Outras atividades,8263.351,340.8,1373.582,4598.966,1261.819,688.184,Outras atividades,8.7,4.5,5.7,11.2,8.4,9
Atividades maldefinidas,69.984,10.506,18.859,32.962,5.242,2.415,Atividades maldefinidas,0.1,0.1,0.1,0.1,0,0
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138,Possuíam,100,100,100,100,100,100
Agrícola,7543.794,728.248,2639.099,2066.946,1391.92,717.581,Agrícola,9.1,12.6,13.9,5.5,10.2,10
Indústria,10931.998,549.999,1798.684,5382.85,2478.613,721.852,Indústria,13.1,9.5,9.5,14.3,18.2,10.1
Indústria de transformação,10255.089,486.089,1660.608,5049.179,2388.679,670.534,Indústria de transformação,12.3,8.4,8.8,13.4,17.5,9.3
Construção,7275.55,559.274,1730.857,3213.561,1122.918,648.94,Construção,8.7,9.7,9.1,8.5,8.2,9
