"Tabela 1.3.15.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.15.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
"Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,,"Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227,Total,100,100,100,100,100,100
Empregado e trabalhador doméstico,63873.303,4346.747,14067.356,29896.837,10175.129,5387.234,Empregado e trabalhador doméstico,67,57.5,58.3,72.8,67.9,70.5
Com carteira de trabalho assinada,38841.496,1876.551,6434.598,20292.278,7022.756,3215.313,Com carteira de trabalho assinada,40.7,24.8,26.7,49.4,46.8,42.1
Militar e funcionário público estatutário,7328.011,705.076,1768.447,2977.494,1108.073,768.921,Militar e funcionário público estatutário,7.7,9.3,7.3,7.3,7.4,10.1
Outro sem carteira de trabalho assinada,17703.796,1765.12,5864.311,6627.065,2044.3,1403,Outro sem carteira de trabalho assinada,18.6,23.4,24.3,16.1,13.6,18.4
Empregado,57564.636,3910.423,12554.145,26959.054,9315.584,4825.43,Empregado,60.4,51.7,52,65.7,62.1,63.1
Com carteira de trabalho assinada,36825.347,1788.428,6113.067,19201.587,6724.638,2997.627,Com carteira de trabalho assinada,38.6,23.7,25.3,46.8,44.8,39.2
Militar e funcionário público estatutário,7328.011,705.076,1768.447,2977.494,1108.073,768.921,Militar e funcionário público estatutário,7.7,9.3,7.3,7.3,7.4,10.1
Outro sem carteira de trabalho assinada,13411.278,1416.919,4672.631,4779.973,1482.873,1058.882,Outro sem carteira de trabalho assinada,14.1,18.7,19.4,11.6,9.9,13.9
Conta própria,21823.126,2206.772,6581.896,8197.837,3184.027,1652.594,Conta própria,22.9,29.2,27.3,20,21.2,21.6
Empregador,3550.566,195.955,645.449,1636.161,747.445,325.556,Empregador,3.7,2.6,2.7,4,5,4.3
Não remunerado,2286.518,369.137,856.729,540.267,396.305,124.08,Não remunerado,2.4,4.9,3.6,1.3,2.6,1.6
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,3846.97,440.191,1977.361,784.479,492.176,152.763,Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4,5.8,8.2,1.9,3.3,2
Possuíam,83200.334,5780.694,18944.665,37646.322,13653.515,7175.138,Possuíam,100,100,100,100,100,100
Empregado e trabalhador doméstico,58539.568,3731.531,12186.993,27936.5,9558.323,5126.221,Empregado e trabalhador doméstico,70.4,64.6,64.3,74.2,70,71.4
Com carteira de trabalho assinada,36748.898,1741.338,6014.065,19250.831,6651.021,3091.643,Com carteira de trabalho assinada,44.2,30.1,31.7,51.1,48.7,43.1
Militar e funcionário público estatutário,7014.359,659.269,1655.957,2875.494,1066.772,756.867,Militar e funcionário público estatutário,8.4,11.4,8.7,7.6,7.8,10.5
Outro sem carteira de trabalho assinada,14776.311,1330.924,4516.971,5810.175,1840.53,1277.711,Outro sem carteira de trabalho assinada,17.8,23,23.8,15.4,13.5,17.8
Empregado,53092.304,3383.904,10923.6,25382.882,8784.552,4617.366,Empregado,63.8,58.5,57.7,67.4,64.3,64.4
Com carteira de trabalho assinada,34912.112,1663.654,5712.325,18271.231,6378.918,2885.984,Com carteira de trabalho assinada,42,28.8,30.2,48.5,46.7,40.2
Militar e funcionário público estatutário,7014.359,659.269,1655.957,2875.494,1066.772,756.867,Militar e funcionário público estatutário,8.4,11.4,8.7,7.6,7.8,10.5
Outro sem carteira de trabalho assinada,11165.833,1060.981,3555.318,4236.157,1338.862,974.515,Outro sem carteira de trabalho assinada,13.4,18.4,18.8,11.3,9.8,13.6
Conta própria,17884.646,1519.327,4771.319,7285.782,2786.26,1521.958,Conta própria,21.5,26.3,25.2,19.4,20.4,21.2
Empregador,3416.948,178.674,606.118,1587.749,726.209,318.198,Empregador,4.1,3.1,3.2,4.2,5.3,4.4
Não remunerado,1459.592,169.697,502.431,409.811,278.311,99.342,Não remunerado,1.8,2.9,2.7,1.1,2,1.4
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,1899.58,181.465,877.804,426.48,304.412,109.419,Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,2.3,3.1,4.6,1.1,2.2,1.5
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089,Não possuíam,100,100,100,100,100,100
Empregado e trabalhador doméstico,5333.735,615.216,1880.363,1960.337,616.806,261.013,Empregado e trabalhador doméstico,43.8,34.6,36.3,57.5,46,55.9
Com carteira de trabalho assinada,2092.598,135.213,420.533,1041.447,371.735,123.67,Com carteira de trabalho assinada,17.2,7.6,8.1,30.5,27.7,26.5
Militar e funcionário público estatutário,313.652,45.807,112.49,102,41.301,12.054,Militar e funcionário público estatutário,2.6,2.6,2.2,3,3.1,2.6
Outro sem carteira de trabalho assinada,2927.485,434.196,1347.34,816.89,203.77,125.289,Outro sem carteira de trabalho assinada,24,24.4,26,24,15.2,26.8
Empregado,4472.332,526.519,1630.545,1576.172,531.032,208.064,Empregado,36.7,29.6,31.5,46.2,39.6,44.5
Com carteira de trabalho assinada,1913.235,124.774,400.742,930.356,345.72,111.643,Com carteira de trabalho assinada,15.7,7,7.7,27.3,25.8,23.9
Militar e funcionário público estatutário,313.652,45.807,112.49,102,41.301,12.054,Militar e funcionário público estatutário,2.6,2.6,2.2,3,3.1,2.6
Outro sem carteira de trabalho assinada,2245.445,355.938,1117.313,543.816,144.011,84.367,Outro sem carteira de trabalho assinada,18.4,20,21.6,16,10.7,18.1
Conta própria,3938.48,687.445,1810.577,912.055,397.767,130.636,Conta própria,32.3,38.7,34.9,26.8,29.6,28
Empregador,133.618,17.281,39.331,48.412,21.236,7.358,Empregador,1.1,1,0.8,1.4,1.6,1.6
Não remunerado,826.926,199.44,354.298,130.456,117.994,24.738,Não remunerado,6.8,11.2,6.8,3.8,8.8,5.3
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,1947.39,258.726,1099.557,357.999,187.764,43.344,Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,16,14.6,21.2,10.5,14,9.3
,,,,,,,,,,,,,
