"Tabela 1.3.16.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.16.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),177656.822,14536.868,48409.904,75598.609,25771.8,13339.641,Total (1),100,100,100,100,100,100
Sem rendimento (2),12370.685,1429.956,6807.58,2706.521,858.519,568.109,Sem rendimento (2),7,9.8,14.1,3.6,3.3,4.3
Até 1/2 salário mínimo,9223.096,1200.206,3914.037,2623.869,968.454,516.53,Até 1/2 salário mínimo,5.2,8.3,8.1,3.5,3.8,3.9
Mais de 1/2 a 1 salário mínimos,57148.711,4424.633,15939.489,24185.579,8333.608,4265.402,Mais de 1/2 a 1 salário mínimos,32.2,30.4,32.9,32,32.3,32
Mais de 1 a 2 salário mínimos,21456.307,1194,3272.864,10797.579,4324.007,1867.857,Mais de 1 a 2 salário mínimos,12.1,8.2,6.8,14.3,16.8,14
Mais de 2 a 3 salário mínimos,12502.189,657.855,1631.124,6540.301,2571.965,1100.944,Mais de 2 a 3 salário mínimos,7,4.5,3.4,8.7,10,8.3
Mais de 3 a 5 salários mínimos,7357.68,384.595,966.905,3785.938,1462.717,757.525,Mais de 3 a 5 salários mínimos,4.1,2.6,2,5,5.7,5.7
