"Tabela 1.3.20.1 - Pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.20.2 - Distribuição das pessoas de 10 anos ou mais de idade, por sexo e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,,,Total,Posse de telefone móvel celular para uso pessoal,,Homens,,,Mulheres,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,177656.822,139056.623,38600.199,85489.399,66382.262,19107.137,92167.423,72674.361,19493.062,Brasil,100,78.3,21.7,100,77.6,22.4,100,78.9,21.1
Norte,14536.868,9971.309,4565.559,7280.589,4839.104,2441.485,7256.279,5132.205,2124.074,Norte,100,68.6,31.4,100,66.5,33.5,100,70.7,29.3
Rondônia,1498.147,1136.664,361.483,746.53,558.225,188.305,751.617,578.439,173.178,Rondônia,100,75.9,24.1,100,74.8,25.2,100,77,23
Acre,651.348,450.428,200.92,323.583,214.449,109.134,327.765,235.979,91.786,Acre,100,69.2,30.8,100,66.3,33.7,100,72,28
Amazonas,3216.277,2215.775,1000.502,1608.113,1063.924,544.189,1608.164,1151.851,456.313,Amazonas,100,68.9,31.1,100,66.2,33.8,100,71.6,28.4
Roraima,420.511,314.736,105.775,212.006,153.129,58.877,208.505,161.607,46.898,Roraima,100,74.8,25.2,100,72.2,27.8,100,77.5,22.5
Pará,6837.456,4407.685,2429.771,3431.551,2132.58,1298.971,3405.905,2275.105,1130.8,Pará,100,64.5,35.5,100,62.1,37.9,100,66.8,33.2
Região Metropolitana de Belém,1922.792,1592.726,330.066,910.82,748.021,162.799,1011.972,844.705,167.267,Região Metropolitana de Belém,100,82.8,17.2,100,82.1,17.9,100,83.5,16.5
Amapá,623.225,452.444,170.781,307.408,225.958,81.45,315.817,226.486,89.331,Amapá,100,72.6,27.4,100,73.5,26.5,100,71.7,28.3
Tocantins,1289.904,993.577,296.327,651.398,490.839,160.559,638.506,502.738,135.768,Tocantins,100,77,23,100,75.4,24.6,100,78.7,21.3
Nordeste,48409.904,33690.204,14719.7,23181.632,15596.382,7585.25,25228.272,18093.822,7134.45,Nordeste,100,69.6,30.4,100,67.3,32.7,100,71.7,28.3
Maranhão,5654.411,3093.692,2560.719,2757.711,1423.599,1334.112,2896.7,1670.093,1226.607,Maranhão,100,54.7,45.3,100,51.6,48.4,100,57.7,42.3
Piauí,2737.791,1873.779,864.012,1335.123,876.942,458.181,1402.668,996.837,405.831,Piauí,100,68.4,31.6,100,65.7,34.3,100,71.1,28.9
Ceará,7675.584,5188.708,2486.876,3728.384,2399.556,1328.828,3947.2,2789.152,1158.048,Ceará,100,67.6,32.4,100,64.4,35.6,100,70.7,29.3
Região Metropolitana de Fortaleza,3344.522,2729.537,614.985,1585.937,1266.76,319.177,1758.585,1462.777,295.808,Região Metropolitana de Fortaleza,100,81.6,18.4,100,79.9,20.1,100,83.2,16.8
