"Tabela 1.3.21.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.21.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,"Tabela 1.3.21.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,139056.623,8585.657,14565.269,13969.832,13710.346,28398.371,24026.384,19172.802,16627.962,Brasil,100,6.2,10.5,10,9.9,20.4,17.3,13.8,12,Brasil,78.3,54.1,83.3,89.6,89.8,88.6,85.4,80.3,56.6
Norte,9971.309,617.362,1193.27,1164.433,1124.379,2183.589,1637.687,1135.849,914.74,Norte,100,6.2,12,11.7,11.3,21.9,16.4,11.4,9.2,Norte,68.6,36.5,68.8,79,80.6,79.1,76.6,71.9,51.7
Rondônia,1136.664,71.326,130.23,122.39,128.337,245.602,195.352,141.854,101.573,Rondônia,100,6.3,11.5,10.8,11.3,21.6,17.2,12.5,8.9,Rondônia,75.9,47.8,79.4,85.5,87.2,84.7,80.3,77.8,56.7
Acre,450.428,31.362,61.149,56.947,51.674,95.821,74.98,38.897,39.598,Acre,100,7,13.6,12.6,11.5,21.3,16.6,8.6,8.8,Acre,69.2,39.9,68,77,83.1,80,77.1,66.7,55.5
Amazonas,2215.775,148.41,253.2,287.694,253.886,489.83,351.831,241.183,189.741,Amazonas,100,6.7,11.4,13,11.5,22.1,15.9,10.9,8.6,Amazonas,68.9,36.5,65.5,77.5,80.1,79.3,79.4,73.9,54.5
Roraima,314.736,27.69,39.064,35.955,32.244,75.231,47.106,33.888,23.558,Roraima,100,8.8,12.4,11.4,10.2,23.9,15,10.8,7.5,Roraima,74.8,48.4,74.7,83.7,82.5,87.9,81.7,74.9,58.2
