"Tabela 1.3.22.1 - Pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.22.2 - Distribuição das pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, e percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou mais de idade,,,,,,Grandes Regiões e Unidades da Federação,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,
,Total,Situação do domicílio,,Tinham telefone móvel celular para uso pessoal,,,,Total,Situação do domicílio,,Tinham telefone móvel celular para uso pessoal,,,,,
,,,,Total,Situação do domicílio,,,,,,Total,Situação do domicílio,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural,,,Urbana,Rural,,Urbana,Rural,,Urbana,Rural
Brasil,177656.822,150985.43,26671.392,139056.623,124971.293,14085.33,Brasil,100,85,15,100,89.9,10.1,78.3,82.8,52.8
Norte,14536.868,10984.571,3552.297,9971.309,8583.745,1387.564,Norte,100,75.6,24.4,100,86.1,13.9,68.6,78.1,39.1
Rondônia,1498.147,1139.346,358.801,1136.664,929.162,207.502,Rondônia,100,76.1,23.9,100,81.7,18.3,75.9,81.6,57.8
Acre,651.348,472.313,179.035,450.428,377.196,73.232,Acre,100,72.5,27.5,100,83.7,16.3,69.2,79.9,40.9
Amazonas,3216.277,2727.425,488.852,2215.775,2112.269,103.506,Amazonas,100,84.8,15.2,100,95.3,4.7,68.9,77.4,21.2
Roraima,420.511,356.051,64.46,314.736,292.626,22.11,Roraima,100,84.7,15.3,100,93,7,74.8,82.2,34.3
Pará,6837.456,4734.417,2103.039,4407.685,3609.926,797.759,Pará,100,69.2,30.8,100,81.9,18.1,64.5,76.2,37.9
Amapá,623.225,546.758,76.467,452.444,429.318,23.126,Amapá,100,87.7,12.3,100,94.9,5.1,72.6,78.5,30.2
Tocantins,1289.904,1008.261,281.643,993.577,833.248,160.329,Tocantins,100,78.2,21.8,100,83.9,16.1,77,82.6,56.9
Nordeste,48409.904,35540.011,12869.893,33690.204,27766.719,5923.485,Nordeste,100,73.4,26.6,100,82.4,17.6,69.6,78.1,46
Maranhão,5654.411,3383.818,2270.593,3093.692,2360.119,733.573,Maranhão,100,59.8,40.2,100,76.3,23.7,54.7,69.7,32.3
Piauí,2737.791,1821.437,916.354,1873.779,1437.561,436.218,Piauí,100,66.5,33.5,100,76.7,23.3,68.4,78.9,47.6
Ceará,7675.584,5593.097,2082.487,5188.708,4224.883,963.825,Ceará,100,72.9,27.1,100,81.4,18.6,67.6,75.5,46.3
Rio Grande do Norte,2975.62,2312.269,663.351,2250.083,1880.609,369.474,Rio Grande do Norte,100,77.7,22.3,100,83.6,16.4,75.6,81.3,55.7
