"Tabela 1.3.23.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.3.23.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Tabela 1.3.23.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total,Grupos de anos de estudo,,,,,,,Total (1),Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,139056.623,15327.623,31115.862,26389.904,48893.007,17167.68,162.547,Brasil,100,11,22.4,19,35.2,12.3,0.1,Brasil,78.3,46.3,70.8,86.2,93.8,97,75.5
Norte,9971.309,1252.368,2200.337,2062.413,3497.204,941.559,17.428,Norte,100,12.6,22.1,20.7,35.1,9.4,0.2,Norte,68.6,38.6,58.3,78,90.5,96.1,54
Rondônia,1136.664,159.136,292.611,221.008,340.973,121.316,1.62,Rondônia,100,14,25.7,19.4,30,10.7,0.1,Rondônia,75.9,49.7,70.5,83.4,92.1,96.6,100
Acre,450.428,73.935,76.916,99.336,149.097,48.692,2.452,Acre,100,16.4,17.1,22.1,33.1,10.8,0.5,Acre,69.2,42.2,56.8,80.4,92.3,93.9,66.6
Amazonas,2215.775,202.107,442.658,417.551,917.166,232.388,3.905,Amazonas,100,9.1,20,18.8,41.4,10.5,0.2,Amazonas,68.9,34.9,55.3,73,90.6,96.4,33.3
Roraima,314.736,28.73,61.571,58.897,122.771,42.561,0.206,Roraima,100,9.1,19.6,18.7,39,13.5,0.1,Roraima,74.8,42.3,60.9,77.2,93.4,97.6,100
