"Tabela 1.3.26.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.26.2 - Distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Condição de atividade na semana de referência,,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,,,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,177656.822,139056.623,38600.199,105519.431,92253.442,13265.989,72137.391,46803.181,25334.21,Brasil,100,78.3,21.7,100,87.4,12.6,100,64.9,35.1
Norte,14536.868,9971.309,4565.559,8287.191,6400.194,1886.997,6249.677,3571.115,2678.562,Norte,100,68.6,31.4,100,77.2,22.8,100,57.1,42.9
Rondônia,1498.147,1136.664,361.483,875.145,737.357,137.788,623.002,399.307,223.695,Rondônia,100,75.9,24.1,100,84.3,15.7,100,64.1,35.9
Acre,651.348,450.428,200.92,355.637,272.43,83.207,295.711,177.998,117.713,Acre,100,69.2,30.8,100,76.6,23.4,100,60.2,39.8
Amazonas,3216.277,2215.775,1000.502,1844.734,1419.681,425.053,1371.543,796.094,575.449,Amazonas,100,68.9,31.1,100,77,23,100,58,42
Roraima,420.511,314.736,105.775,250.244,212.432,37.812,170.267,102.304,67.963,Roraima,100,74.8,25.2,100,84.9,15.1,100,60.1,39.9
Pará,6837.456,4407.685,2429.771,3892.515,2841.67,1050.845,2944.941,1566.015,1378.926,Pará,100,64.5,35.5,100,73,27,100,53.2,46.8
Região Metropolitana de Belém,1922.792,1592.726,330.066,1139.907,1037.14,102.767,782.885,555.586,227.299,Região Metropolitana de Belém,100,82.8,17.2,100,91,9,100,71,29
Amapá,623.225,452.444,170.781,333.15,281.916,51.234,290.075,170.528,119.547,Amapá,100,72.6,27.4,100,84.6,15.4,100,58.8,41.2
Tocantins,1289.904,993.577,296.327,735.766,634.708,101.058,554.138,358.869,195.269,Tocantins,100,77,23,100,86.3,13.7,100,64.8,35.2
Nordeste,48409.904,33690.204,14719.7,26840.727,21274.303,5566.424,21569.177,12415.901,9153.276,Nordeste,100,69.6,30.4,100,79.3,20.7,100,57.6,42.4
Maranhão,5654.411,3093.692,2560.719,3169.587,1963.239,1206.348,2484.824,1130.453,1354.371,Maranhão,100,54.7,45.3,100,61.9,38.1,100,45.5,54.5
Piauí,2737.791,1873.779,864.012,1721.821,1298.533,423.288,1015.97,575.246,440.724,Piauí,100,68.4,31.6,100,75.4,24.6,100,56.6,43.4
Ceará,7675.584,5188.708,2486.876,3987.298,3164.843,822.455,3688.286,2023.865,1664.421,Ceará,100,67.6,32.4,100,79.4,20.6,100,54.9,45.1
Região Metropolitana de Fortaleza,3344.522,2729.537,614.985,1918.18,1760.009,158.171,1426.342,969.528,456.814,Região Metropolitana de Fortaleza,100,81.6,18.4,100,91.8,8.2,100,68,32
