"Tabela 1.3.27.1 - Pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.27.2 - Distribuição das pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,Posse de telefone móvel celular para uso pessoal,,Situação de ocupação na semana de referência,,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Situação de ocupação na semana de referência,,,,,
,,,,Ocupadas,,,Não ocupadas,,,,,,,Ocupadas,,,Não ocupadas,,
,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,,,,,,Total,Posse de telefone móvel celular para uso pessoal,,Total,Posse de telefone móvel celular para uso pessoal,
,,Utilizaram,Não utilizaram,,Possuíam,Não possuíam,,Possuíam,Não possuíam,,,Utilizaram,Não utilizaram,,Possuíam,Não possuíam,,Possuíam,Não possuíam
Brasil,177656.822,139056.623,38600.199,95380.483,83200.334,12180.149,82276.339,55856.289,26420.05,Brasil,100,78.3,21.7,100,87.2,12.8,100,67.9,32.1
Norte,14536.868,9971.309,4565.559,7558.802,5780.694,1778.108,6978.066,4190.615,2787.451,Norte,100,68.6,31.4,100,76.5,23.5,100,60.1,39.9
Rondônia,1498.147,1136.664,361.483,815.975,686.289,129.686,682.172,450.375,231.797,Rondônia,100,75.9,24.1,100,84.1,15.9,100,66,34
Acre,651.348,450.428,200.92,330.409,249.48,80.929,320.939,200.948,119.991,Acre,100,69.2,30.8,100,75.5,24.5,100,62.6,37.4
Amazonas,3216.277,2215.775,1000.502,1628.938,1233.502,395.436,1587.339,982.273,605.066,Amazonas,100,68.9,31.1,100,75.7,24.3,100,61.9,38.1
Roraima,420.511,314.736,105.775,224.411,189.908,34.503,196.1,124.828,71.272,Roraima,100,74.8,25.2,100,84.6,15.4,100,63.7,36.3
Pará,6837.456,4407.685,2429.771,3592.235,2596.235,996,3245.221,1811.45,1433.771,Pará,100,64.5,35.5,100,72.3,27.7,100,55.8,44.2
Região Metropolitana de Belém,1922.792,1592.726,330.066,987.525,899.412,88.113,935.267,693.314,241.953,Região Metropolitana de Belém,100,82.8,17.2,100,91.1,8.9,100,74.1,25.9
Amapá,623.225,452.444,170.781,297.424,249.078,48.346,325.801,203.366,122.435,Amapá,100,72.6,27.4,100,83.7,16.3,100,62.4,37.6
Tocantins,1289.904,993.577,296.327,669.41,576.202,93.208,620.494,417.375,203.119,Tocantins,100,77,23,100,86.1,13.9,100,67.3,32.7
Nordeste,48409.904,33690.204,14719.7,24128.791,18944.665,5184.126,24281.113,14745.539,9535.574,Nordeste,100,69.6,30.4,100,78.5,21.5,100,60.7,39.3
Maranhão,5654.411,3093.692,2560.719,2956.12,1785.852,1170.268,2698.291,1307.84,1390.451,Maranhão,100,54.7,45.3,100,60.4,39.6,100,48.5,51.5
Piauí,2737.791,1873.779,864.012,1595.742,1187.653,408.089,1142.049,686.126,455.923,Piauí,100,68.4,31.6,100,74.4,25.6,100,60.1,39.9
Ceará,7675.584,5188.708,2486.876,3653.41,2880.524,772.886,4022.174,2308.184,1713.99,Ceará,100,67.6,32.4,100,78.8,21.2,100,57.4,42.6
