"Tabela 1.3.29.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.3.29.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.3.29.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade que que tinham telefone móvel celular para uso pessoal (%),,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade (%)",,,,,,,
,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,,,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,,,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,
,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5,,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5,,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5
Brasil,139056.623,6786.926,16890.002,37083.467,43573.123,14452.658,9222.712,7229.32,Brasil,100,4.9,12.2,26.7,31.4,10.4,6.6,5.2,Brasil,78.3,53.9,67.8,77.2,81.2,88.7,93.1,95.7
Norte,9971.309,711.119,2009.223,3175.996,2526.115,718.166,408.581,255.975,Norte,100,7.1,20.2,31.9,25.4,7.2,4.1,2.6,Norte,68.6,42,59.8,71,78,88.3,91.8,95.4
Rondônia,1136.664,55.384,158.606,322.065,370.142,124.286,61.327,33.237,Rondônia,100,4.9,14,28.4,32.6,10.9,5.4,2.9,Rondônia,75.9,56.2,62.9,76.3,78.3,89.5,93.8,96.1
Acre,450.428,43.104,93.547,135.961,107.392,30.656,22.247,13.136,Acre,100,9.6,20.8,30.3,23.9,6.8,5,2.9,Acre,69.1,42.7,60.3,74.2,82.3,88.8,94.8,98.7
Amazonas,2215.775,188.444,459.559,688.684,532.461,168.914,84.96,63.463,Amazonas,100,8.5,20.8,31.2,24.1,7.7,3.8,2.9,Amazonas,68.8,39.4,60.3,73.8,82,90.6,92.9,94.2
Roraima,314.736,16.745,53.938,95.067,75.222,33.27,20.039,15.496,Roraima,100,5.3,17.2,30.3,24,10.6,6.4,4.9,Roraima,74.8,50,63.8,72.4,83.3,94.2,89,92.6
Pará,4407.685,320.84,987.439,1508.363,1036.482,247.077,147.165,80.206,Pará,100,7.3,22.4,34.3,23.6,5.6,3.3,1.8,Pará,64.4,39.3,57.6,67.4,73.8,84.2,90.1,95.4
Região Metropolitana de Belém,1592.726,69.381,307.275,542.721,394.965,107.439,80.181,53.926,Região Metropolitana de Belém,100,4.4,19.3,34.1,24.8,6.8,5,3.4,Região Metropolitana de Belém,82.8,70.5,76.7,81.2,86.3,92.8,94.9,95
Amapá,452.444,27.596,86.439,137.151,117.716,41.773,25.22,14.973,Amapá,100,6.1,19.1,30.3,26,9.2,5.6,3.3,Amapá,72.6,43.2,60.3,73.8,86.8,89.3,89.7,100
Tocantins,993.577,59.006,169.695,288.705,286.7,72.19,47.623,35.464,Tocantins,100,5.9,17.1,29.1,28.9,7.3,4.8,3.6,Tocantins,77,59.1,68.4,76.1,80.5,92.8,93.5,95.2
Nordeste,33690.204,3639.029,7176.302,10801.291,7657.105,1785.754,1253.371,841.197,Nordeste,100,10.8,21.3,32.1,22.8,5.3,3.7,2.5,Nordeste,69.6,49.8,65.3,73,75.1,87.3,94.8,95.9
Maranhão,3093.692,417.91,692.988,997.404,615.58,124.769,105.977,84.19,Maranhão,100,13.5,22.5,32.3,20,4,3.4,2.7,Maranhão,54.7,34.5,50.2,61.9,66.5,84.3,94.6,92.6
Piauí,1873.779,213.891,405.825,583.681,460.998,89.496,58.538,43.899,Piauí,100,11.4,21.7,31.2,24.6,4.8,3.1,2.3,Piauí,68.4,48,63.1,70.8,77.5,86.9,96.3,100
Ceará,5188.708,612.44,1068.37,1661.92,1194.681,249.355,165.523,97.341,Ceará,100,11.8,20.6,32.1,23.1,4.8,3.2,1.9,Ceará,67.6,50.4,63.5,70.8,71.8,84.9,96.2,94.7
Região Metropolitana de Fortaleza,2729.537,156.388,506.725,911.847,702.718,181.165,106.865,76.08,Região Metropolitana de Fortaleza,100,5.7,18.6,33.5,25.8,6.7,3.9,2.8,Região Metropolitana de Fortaleza,81.6,66.8,75.6,82.1,84.1,91.9,96.8,97.7
Rio Grande do Norte,2250.083,198.514,433.78,721.275,534.789,149.775,115.866,69.945,Rio Grande do Norte,100,8.8,19.3,32.1,23.8,6.7,5.2,3.1,Rio Grande do Norte,75.6,55.9,69.6,78.1,78,93.8,95.3,97.1
Paraíba,2605.215,271.514,544.312,822.305,586.337,152.562,107.939,93.088,Paraíba,100,10.4,20.9,31.6,22.5,5.9,4.1,3.6,Paraíba,76.3,61.1,73.8,77.6,78.6,89.7,94.9,99.3
Pernambuco,5970.383,584.71,1343.493,1973.402,1278.071,302.904,229.036,170.03,Pernambuco,100,9.8,22.6,33.1,21.5,5.1,3.8,2.9,Pernambuco,73.7,54.4,71.5,76.6,76.2,87.4,94,96.2
Região Metropolitana de Recife,2924.052,213.918,554.206,986.424,711.126,169.041,142.888,123.868,Região Metropolitana de Recife,100,7.3,19,33.8,24.4,5.8,4.9,4.2,Região Metropolitana de Recife,84.6,75.3,81,85,85.4,91,93.5,95.9
Alagoas,1915.987,259.874,447.378,587.047,386.985,112.002,56.628,25.801,Alagoas,100,13.6,23.4,30.7,20.2,5.9,3,1.3,Alagoas,67.2,53.4,63.4,69.6,72,89,94.7,95.4
